Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7
Tracks 1 to 7
1	146.79288	17.178173	 	181.01466	688.2872	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	146.88213	17.259777	 	181.11497	688.282	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	146.84598	17.215403	 	179.72462	688.29156	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
4	146.89265	17.25306	 	180.97328	688.2928	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	146.79523	17.260267	 	181.02711	688.2863	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
6	146.84451	17.30425	 	181.0747	688.2961	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
7	146.81104	17.301561	 	180.91145	688.2775	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
8	146.74529	17.245838	 	181.25246	688.2928	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
9	146.77791	17.383928	 	181.16127	688.27563	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10	146.83221	17.403803	 	181.11105	688.28656	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11	146.69441	17.48324	 	181.62622	688.2702	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
12	146.73103	17.51116	 	181.18008	688.29	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
13	146.76115	17.558035	 	180.70172	688.27563	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
14	146.71246	17.563404	 	181.18324	688.2784	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
15	146.7029	17.623745	 	181.47511	688.27814	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
16	146.66852	17.611973	 	181.35222	688.2724	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
17	146.71986	17.685268	 	181.55513	688.2719	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18	146.63141	17.669266	 	181.01518	688.2853	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
19	146.5462	17.718922	 	181.20227	688.27563	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
20	146.74008	17.803965	 	181.41685	688.2943	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21	146.6786	17.8473	 	180.39142	688.2937	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
22	146.73433	17.975248	 	181.18108	688.27625	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
23	146.63736	18.024176	 	181.22421	688.2872	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
24	146.5954	18.038378	 	181.37445	688.2904	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
25	146.58618	18.11989	 	181.58414	688.26917	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
26	146.63667	18.244444	 	180.9513	688.28357	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
27	146.69911	18.316372	 	181.01518	688.2853	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28	146.66464	18.332045	 	181.30652	688.2859	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
29	146.72235	18.433628	 	181.14456	688.2902	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
30	146.94273	18.61674	 	181.17354	688.2842	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31	146.81126	18.737307	 	181.56161	688.27515	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
32	146.89668	18.84917	 	180.94504	688.2748	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
33	147.03563	19.056793	 	181.02751	688.27563	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
34	146.7694	19.07428	 	180.80777	688.28186	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
35	146.7022	19.185715	 	181.03406	688.2805	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
36	146.41814	19.238937	 	181.53801	688.2807	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
37	146.42366	19.368048	 	181.26775	688.26666	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38	146.10153	19.406113	 	181.90282	688.2742	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
39	145.76637	19.546944	 	181.2557	688.28284	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
40	145.46753	19.61039	 	181.67769	688.2768	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41	145.35776	19.617456	 	181.2129	688.2634	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
42	145.21706	19.839092	 	181.57925	688.2796	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
43	145.12688	19.858065	 	181.50435	688.2837	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
44	145.06451	20.10215	 	181.07622	688.2773	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
