Frame X1 Y1 Flag1 X2 Y2 Flag2 X3 Y3 Flag3
Tracks 1 to 3      
139 159.80487 607.1707 259.84286 634.4     
140 159.69429 608.6295 259.90225 634.228     
141 159.74521 608.8237 260.61267 634.4747     
142 159.65993 608.3343 279.3086 632.6953     
143 159.62451 608.2276 279.83588 632.2214     
144 159.52924 608.6345 280.19684 632.46063     
145 159.53952 609.1542 279.26105 632.68585     
146 159.48434 609.31604 280.94394 632.3924     
147 159.65698 609.0969 276.1744 633.3721     
148 159.4726 608.9677 279.24368 632.92017     
149 159.37671 609.1027 277.98346 633.19006     
150 159.36433 609.27325 275.42664 633.50775     
151 159.33142 609.04407 275.49628 633.5373     
152 159.28253 608.9116 278.87598 632.3682     
153 159.36407 608.89417 274.57422 633.6343     
154 159.12213 608.91986 268.4964 634.8201     
155 159.25145 608.82623 275.79327 632.8039     
156 159.08318 609.1138 275.47925 632.6453     
157 159.13005 609.0241 277.74265 632.5625     
158 159.01335 609.25385 278.46475 633.3458     
159 159.03757 609.34973 279.29907 633.4041     
160 158.9196 609.11176 280.17673 632.49567     
161 159.00192 609.2231 278.76 633.012     
162 158.93822 608.97107 275.68588 633.18774     
163 158.94168 609.0564 278.19766 632.79846     
164 158.7915 608.9633 277.8606 632.65985     
165 158.794 608.9816 279.1549 633.19806     
166 158.66072 608.89484 278.28482 633.27216     
167 158.65892 608.9283 274.86496 633.6606     
168 158.68164 608.99713 267.56268 634.1677     
169 158.6836 608.8496 275.00937 633.294     
170 158.64397 608.87354 275.94073 633.43335     
171 158.48839 608.9719 280.41428 632.02246     
172 158.467 609.20294 277.51205 633.1345     
173 158.47485 609.08997 277.79297 633.14453     
174 158.36398 609.0345 280.05432 632.10297     
175 158.40715 609.0551 279.92978 632.7298     
176 158.4363 608.99036 277.875 632.5478     
177 158.40077 608.93774 276.8793 633.2586     
178 158.2457 608.79254 278.75186 632.6963     
179 158.17061 608.8826 275.4883 633.5934     
180 158.15564 608.8502 260.45184 634.5057     
181 158.06844 608.8498 260.4127 634.44366     
182 158.05836 608.68286 258.07623 635.3628     
183 158.03772 608.77466 276.86435 633.2713     
184 157.89726 608.9814 276.96793 632.97546     
185 157.89847 609.069 277.53677 632.39703     
186 157.91257 609.1817 276.2015 633.11194     
187 157.87549 609.1965 277.15146 633.168     
188 157.87228 609.07623 276.14615 633.25385     
189 157.86046 608.80817 275.38123 633.89465     
190 157.8353 608.7941 274.5979 633.0455     
191 157.7071 608.6657 274.13083 633.57526     
192 157.67451 608.62354 276.9529 633.1739     
193 157.65749 608.80316 278.9 632.90405     
194 157.64786 608.7587 274.28424 633.3699     
195 157.66602 608.7799 260.82275 634.34436     
196 157.61177 608.6824 273.07913 633.56476     
197 157.5689 608.8878 276.391 633.3233     
198 157.61266 608.96045 275.65 633.4654     
199 157.63943 609.06775 279.11978 632.3555     
200 157.59534 608.98444 276.0095 633.3023     
201 157.52896 608.83014 276.26135 633.49243     
202 157.57393 608.89496 274.71942 633.44965     
203 157.50197 608.64734 276.39493 633.2971     
204 157.46881 608.58185 277.27695 633.09106     
205 157.59038 608.70575 258.27136 634.792     
206 157.57825 608.6794 260.519 633.9592     
207 157.56287 608.66504 275.2118 633.2847     
208 157.50781 608.7988 274.48544 633.7     
209 157.66406 608.8496 272.65173 633.469     
210 157.5918 608.74414 276.69742 634.20386     
211 157.58737 609.001 278.58224 633.94586     
212 157.57256 608.9706 276.5888 633.3378     
213 157.5685 608.7975 277.48148 632.6074     
214 157.69846 608.81793 275.74496 632.651     
215 157.64145 608.87915 278.7638 632.57874     
216 157.58055 608.63556 275.03192 633.3723     
217 157.6437 608.86615 276.11508 634.3492     
218 157.60959 608.6624 274.87848 633.3507     
219 157.7196 608.6745 276.74115 632.7447     
220 157.70961 608.6019 278.97778 632.4037     
221 157.74225 608.7403 257.90564 634.6465     
222 157.74371 608.7379 275.1875 633.24634     
223 157.8164 608.834 278.63028 632.54596     
224 157.74554 609.003 277.092 633.288     
225 157.68738 608.73474 279.36453 632.70715     
226 157.83267 609.01794 278.39316 633.02563     
227 157.76785 608.98016 277.72128 633.54254     
228 157.78876 608.95544 276.45862 632.6724     
229 157.87428 608.78217 275.72888 632.9824     
230 157.72441 608.7776 274.7669 633.5902     
231 157.7466 608.7349 275.4929 633.09784     
232 157.6706 608.8255 276.78137 633.2643     
233 157.68039 608.8647 279.1625 633.525     
234 157.91458 608.8263 279.3914 632.25653     
235 157.75725 608.85974 275.98135 633.347     
236 157.90233 608.68567 275.12827 633.55206     
237 157.90892 608.8643 277.98032 633.30707     
238 157.78433 608.83655 279.86145 632.11847     
239 157.89612 608.9427 276.80267 632.9598     
240 158.01253 609.13586 277.21646 633.27014     
241 157.96947 608.9313 276.03873 633.14087     
242 157.96512 608.9748 278.45456 632.5947     
243 157.8534 608.7349 275.42365 633.50366     
244 157.91016 608.6133 275.65625 633.0278     
245 157.93411 608.8217 274.1864 633.4686     
246 157.88252 608.9 274.1044 633.9176     
247 157.87599 608.7126 274.86655 634.1494     
248 158.0428 608.8658 278.417 632.89923     
249 158.06914 609.06915 276.4498 634.0356     
