Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6
Tracks 1 to 6
54	8.465699	600.20447	 	270.61548	627.0566	 	109.29317	24.467741	 	116.13082	382.0735	 	 	 	 	 	 	 
55	2.0658362	595.6281	 	270.25974	627.2094	 	109.34109	24.410852	 	116.195656	396.58694	 	 	 	 	 	 	 
56	2.3754325	597.70764	 	270.77472	626.5132	 	108.84104	24.255299	 	115.8295	411.33142	 	 	 	 	 	 	 
57	2.2	599.3852	 	290.96747	622.4959	 	109.50389	24.414396	 	115.58871	426.5766	 	 	 	 	 	 	 
58	2.0610688	599.35114	 	290.6791	622.097	 	109.71124	24.58721	 	115.648	441.712	 	 	 	 	 	 	 
59	2.0963635	596.34	 	290.52747	623.2804	 	109.130135	24.441292	 	115.6255	457.3826	 	 	 	 	 	 	 
60	2.2758007	597.36475	 	270.18408	627.6386	 	109.445946	24.442085	 	115.51181	473.34253	 	 	 	 	 	 	 
61	1.9343066	595.354	 	270.0203	627.67664	 	108.83918	24.433723	 	115.38259	489.52023	 	 	 	 	 	 	 
62	2.2349823	596.11835	 	270.38028	627.3803	 	109.4004	24.440239	 	115.199585	505.76337	 	 	 	 	 	 	 
63	2.0936396	595.4753	 	270.03223	627.3902	 	109.58016	24.341682	 	115.146805	522.5553	 	 	 	 	 	 	 
64	2.2455196	596.57166	 	290.65356	622.1779	 	109.39341	24.217054	 	115.0279	539.5043	 	 	 	 	 	 	 
65	2.139576	594.84985	 	290.37598	623.0194	 	109.051926	24.128845	 	114.96087	556.8522	 	 	 	 	 	 	 
66	9.341398	604.5806	 	270.64645	627.64417	 	109.02631	24.229044	 	114.98718	574.35895	 	 	 	 	 	 	 
67	2.3049645	596.55676	 	270.3922	627.43805	 	109.31154	24.315384	 	114.588234	592.1933	 	 	 	 	 	 	 
68	2.0415163	596.4386	 	272.43082	626.48883	 	108.90777	24.241747	 	114.52896	606.2683	 	 	 	 	 	 	 
69	2.2649124	597.4579	 	270.10648	627.3912	 	109.03398	24.470873	 	114.2715	596.70636	 	 	 	 	 	 	 
70	9.358612	600.7622	 	270.63303	626.76166	 	108.77736	24.473585	 	114.13731	587.5674	 	 	 	 	 	 	 
71	2.019573	594.6993	 	269.95688	627.1247	 	108.90619	24.420696	 	113.97533	578.9779	 	 	 	 	 	 	 
