Frame X1 Y1 Flag1 X2 Y2 Flag2 X3 Y3 Flag3 X4 Y4 Flag4
Tracks 1 to 4         
139 89.60731 597.1119 270.6815 635.50714        
140 89.25395 598.02594 273.1241 634.7234        
141 88.71365 599.2511 271 634.5271        
142 88.34768 600.77374 260.39322 636.11456        
143 87.90305 602.5283 269.55838 636.3759        
144 87.48468 604.7079 269.7 635.2446        
145 86.880684 608.2159 270.47922 634.9184        
146 86.43799 607.626 268.38925 635.86395        
147 86.005135 605.6663 269.65662 635.38556        
148 85.34631 605.23895 270.1123 635.2477        
149 84.86226 605.2701 270.2554 635.8201        
150 84.344864 605.2715 268.95322 635.0029        
151 83.79132 605.75 270.58942 634.99005        
152 83.231224 607.5751 270.6265 635.91504        
153 82.69367 608.6527 271.0034 635.2872        
154 82.26792 608.6302 269.89322 636.0458        
155 81.9283 608.2208 267.7057 635.81964        
156 81.222755 607.8862 269.5954 636.0691        
157 80.762474 608.3355 270.03412 635.14984        
158 80.29658 608.6578 270.32413 636.5724        
159 79.73148 608.5407 269.24304 635.5372        
160 79.16416 608.70636 * 270.22955 635.43396       
161 78.509544 608.80914 270.744 635.8746        
162 78.06692 608.842 277.29263 635.38477        
163 77.60846 609.01105 271.008 635.024        
164 77.026024 609.08734 271.08472 635.11127        
165 76.329315 609.11224 271.59967 635.26526        
166 75.79831 609.1998 270.00708 635.9078        
167 75.19403 609.19403 271.2548 635.0955        
168 74.74112 609.0533 272.1055 634.5826        
169 74.187386 608.8333 269.1742 636.1871        
170 73.66852 608.9148 * 270.82483 634.8376       
171 73.14962 608.86176 275.31406 635.76447        
172 72.496216 608.7476 * 268.71475 636.2651       
173 72.00376 608.8797 270.6831 635.17255        
174 71.45693 609.0936 269.63986 636.0734        
175 70.921844 609.0763 240.90247 636.9682        
176 70.3764 609.07306 * 267.5176 636.7042       
177 69.84823 609.2933 269.01163 635.6395        
178 69.35635 609.20715 271.45334 635.24        
179 68.796295 609.2389 * 270.11563 635.6466       
180 68.227776 609.1574 268.58228 636.06964        
181 67.62177 609.2011 270.61688 635.4773        
182 67.109024 609.0789 * 269.90372 636.24445       
183 66.64446 609.04596 269.24075 636.17004        
184 66.10813 608.86786 269.2027 635.35284        
185 65.533646 609.0271 * 268.1575 635.75385       
186 64.997246 609.2963 269.8569 636.40234        
187 64.351105 609.15076 * 241.04158 636.8915       
188 63.898132 608.9673 * 271.32474 635.5653       
189 63.42714 609.34155 269.69266 635.44495 33.060482 637.91534 *     
190 62.929367 609.24536 * 271.22427 636.0809 20.048494 636.898     
191 62.275322 609.5147 271.23718 635.0545 30.132034 638.00214 *     
192 61.69279 609.5901 * 271.40033 634.68005 22.371052 636.3158 *    
193 61.136196 609.4342 * 270.14163 635.4829 20.967493 636.39166 *    
194 60.62226 609.4781 * 270.5202 635.5269 23.147223 636.66113 *    
195 60.099266 609.3658 * 270.10065 635.5227 33.515152 637.92804 *    
196 59.627697 609.40826 * 270.36487 635.58105 23.53252 636.7791 *    
197 59.09415 609.2733 * 270.50323 635.2305 22.964203 636.0681 *    
198 58.39892 609.3646 * 270.57303 635.21747 23.995846 636.7632 *    
199 57.987984 609.28375 * 268.79544 636.0682 22.261644 636.2945 *    
200 57.455357 609.4625 * 260.1704 636.72253 22.263737 636.42584 *    
201 56.865765 609.64777 * 269.5254 635.5571 22.359459 636.03784 *    
202 56.47699 609.8558 * 270.1814 635.1814 23.110811 636.5 *    
203 55.787254 609.8842 * 269.78525 635.09937 22.54301 636.371 *    
204 55.30354 609.66815 * 271.04544 635.48376 21.990814 636.2454 *    
205 54.7298 609.8573 * 271.0067 635.28186 26.504524 637.7398 *    
206 54.146427 609.7268 * 269.90384 635.1539 20.021614 636.06195 *    
207 53.578712 609.7004 * 276.12878 634.26514 30.73194 638.1426 *    
208 53.081394 609.7397 * 270.31757 635.51013 22.179083 636.8467 *    
209 52.56952 609.89575 * 259.08856 636.95776 23.556267 636.3261 *    
210 52.129234 609.7567 * 270.05667 635.85 19.464392 636.3071 *    
211 51.359894 609.7504 * 269.09482 635.181 23.621212 636.2702 *    
212 50.94385 609.8137 * 269.5037 636.33026 31.134455 638.6891 *    
213 50.350616 609.80756 * 240.86646 637.49585 34.521202 638.09717 *    
214 49.679077 609.8564 * 270.14664 636.34454 22.237968 636.35297 *    
215 49.238052 609.98145 * 260.90167 636.02527 29.758823 637.74316 *    
216 48.7108 609.9878 * 270.35764 635.67285 18.75688 636.11163 *    
217 48.238518 610.1714 * 269.54544 635.6688 30.539682 637.96826 *    
218 47.513912 610.1922 * 270.81476 635.218 21.862904 636.26074 *    
219 47.05052 610.16376 * 270.38474 635.40845 19.606508 636.071 *    
220 46.51049 610.1923 * 270.6812 635.1745 19.585987 636.4618 *    
221 45.86192 610.3251 * 241.15 637.12085 23.443903 636.40247 *    
222 45.468964 610.2293 * 274.98016 635.2778 29.072035 637.88983 *    
223 44.8885 609.9617 * 268.8446 636.1738 21.819307 635.9505 *    
224 44.262154 610.17017 * 268.91806 636.4933 31.095419 637.9771 *    
225 43.657803 610.1638 * 271.4018 634.6042 23.316425 636.2995 *    
226 43.193493 610.26886 * 269.80945 635.20685 32.594116 638.0804 *    
227 42.708828 610.2674 * 236.93927 637.3988 22.100927 636.1404 *    
228 42.152027 610.45776 * 269.54984 635.90497 21.35819 636.0623 *    
229 41.594177 610.4503 * 270.8681 634.954 21.509804 635.89954 *    
230 41.077442 610.4394 * 267.74753 635.99506 21.890804 636.3563 *    
231 40.583893 610.4614 * 270.07053 635.5 21.357506 636.2023 *    
232 40.013744 610.6083 * 270.56546 636.3655 22.94315 636.5758 *    
233 39.288136 610.41693 * 269.0036 635.7194 31.037037 638.7963 *    
234 38.966778 610.53986 * 275.59473 634.15265 22.583334 636.0238 *    
235 38.448807 610.3891 * 277.2638 634.30316 22.852304 636.4702 *    
