Frame,X1,Y1,Flag1,X2,Y2,Flag2,X3,Y3,Flag3,X4,Y4,Flag4,X5,Y5,Flag5
Tracks,1,to,5,,,,,,,,,,,,
114,169.92473,501.54123,,,,,,,,,,,,,
115,169.85855,505.0946,,,,,,,,,,,,,
116,169.70578,508.78882,,,,,,,,,,,,,
117,169.66275,512.9521,,,,,,,,,,,,,
118,169.55515,517.3823,,,,,,,,,,,,,
119,169.49817,522.01373,,,,,,,,,,,,,
120,169.50739,527.00183,,,,,,,,,,,,,
121,169.39981,532.4128,,,,,,,,,,,,,
122,169.37222,537.9037,,,,,,,,,,,,,
123,169.34259,543.7389,,,,,,,,,,,,,
124,169.27083,549.983,,,,,,,,,,,,,
125,169.1813,556.51337,,,,,,,,,,,,,
126,169.08397,563.2481,,,,,,,,,,,,,
127,169.02794,570.49036,,,,,,,,,,,,,
128,168.92549,578.00195,,,,,,,,,,,,,
129,168.8491,585.76825,,,,,,,,,,,,,
130,168.62648,593.82806,,,,,,,,,,,,,
131,168.58893,602.0889,,,,,,,,,,,,,
132,168.52783,610.76044,,,,,,,,,,,,,
133,168.32411,619.6443,,,,,,,,,,,,,
134,168.30605,630.11566,,,,,,,,,,,,,
135,168.22914,636.4535,,,,,,,,,,,,,
136,168.10655,630.1082,,,,,,,,,,,,,
137,168.0857,625.9493,,,,,,,,,,,,,
138,167.9484,622.121,,,,,,,,,,,,,
139,167.80795,618.308,,,,,,,,,,,,,
140,167.72261,615.13477,,,,,,,,,,,,,
141,167.7409,612.32666,,,,,,,,,,,,,
142,167.67218,609.9244,,,,,,,,,,,,,
143,167.6138,607.7793,,,,,,,,,,,,,
144,167.47574,605.94366,,,,,,,,,,,,,
145,167.3703,604.46246,,,,,,,,,,,,,
146,167.2638,603.2983,,,,,,,,,,,,,
147,167.15306,602.3129,,,,,,,,,,,,,
148,167.04794,601.6969,,,,,,,,,,,,,
149,166.8686,601.4505,,,,,,,,,,,,,
150,166.82253,601.4539,,,,,,,,,,,,,
151,166.72525,601.599,,,,,,,,,,,,,
152,166.5238,602.2126,,,,,,,,,,,,,
153,166.52234,603.165,,,,,,,,,,,,,
154,166.36255,604.2869,,,,,,,,,,,,,
155,166.35837,605.6331,,,,,,,,,,,,,
156,166.23196,607.47076,,,,,,,,,,,,,
157,166.15172,609.5466,,,,,,,,,,,,,
158,166.01309,612.055,,,,,,,,,,,,,
159,165.90862,614.68274,,,,,,,,,,,,,
160,165.75435,617.8397,,,,,,,,,,,,,
161,165.56825,621.3874,,,,,,,,,,,,,
162,165.50671,625.3708,,,,,,,,,,,,,
163,165.38033,629.5885,,,,,,,,,,,,,
164,165.28706,636.4178,,,,,,,,,,,,,
165,165.10834,636.8903,,,,,,,,,,,,,
166,164.90964,635.6138,,,,,,,,,,,,,
167,164.8049,632.1303,,,,,,,,,,,,,
168,164.70221,630.9392,,,,,,,,,,,,,
169,164.6536,630.2312,,,,,,,,,,,,,
170,164.47125,629.94885,,,,,,,,,,,,,
171,164.32166,629.8981,,,,,,,,,,,,,
172,164.28468,630.16187,,,,,,,,,,,,,
173,164.14195,631.0205,,,,,,,,,,,,,
174,163.96297,634.7024,,,,,,,,,,,,,
175,163.86041,635.9967,,,,,,,,,,,,,
176,163.61523,636.71326,,,,,,,,,,,,,
177,163.4619,636.8469,,,,,,,,,,,,,
178,163.35939,636.793,,,,,,,,,,,,,
179,163.21634,636.5758,,,,,,,,,,,,,
