Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5
Tracks 1 to 5
1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
16	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
19	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
20	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
22	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
23	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
24	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
25	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
26	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
27	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
29	166.26028	6.5950356	 	158.60793	42.267284	 	 	 	 	 	 	 	 	 	 
30	167.34616	6.3532763	*	158.62628	45.80546	*	 	 	 	 	 	 	 	 	 
31	167.7801	6.1512604	*	158.65952	49.77101	*	 	 	 	 	 	 	 	 	 
32	168.06837	5.920228	*	158.60088	54.065216	*	 	 	 	 	 	 	 	 	 
33	168.64836	5.726819	*	158.56818	58.791958	 	 	 	 	 	 	 	 	 	 
34	168.30591	5.6068916	 	158.73022	63.579086	 	 	 	 	 	 	 	 	 	 
35	168.59247	5.33926	 	158.62411	68.913124	 	 	 	 	 	 	 	 	 	 
36	168.92082	5.2261057	 	158.49098	74.32852	 	 	 	 	 	 	 	 	 	 
37	168.80127	5.099717	 	158.61252	80.18965	 	 	 	 	 	 	 	 	 	 
38	168.80173	4.9497128	 	158.50916	86.4359	 	 	 	 	 	 	 	 	 	 
39	168.94807	4.9509244	 	158.58534	92.69852	 	 	 	 	 	 	 	 	 	 
40	169.0151	4.8179855	 	158.41806	99.535385	 	 	 	 	 	 	 	 	 	 
41	169.27266	4.7834535	 	158.65572	106.597565	 	 	 	 	 	 	 	 	 	 
42	169.20876	4.7180777	 	158.5	114.0	 	 	 	 	 	 	 	 	 	 
43	169.19164	4.7492795	 	158.40752	121.75819	 	 	 	 	 	 	 	 	 	 
44	169.67197	4.74711	 	158.48622	129.82086	 	 	 	 	 	 	 	 	 	 
45	169.12015	4.7633095	 	158.52959	138.05424	 	 	 	 	 	 	 	 	 	 
46	169.55492	4.74711	 	158.53615	146.71486	 	 	 	 	 	 	 	 	 	 
47	169.76056	4.745997	 	158.57362	155.62679	 	 	 	 	 	 	 	 	 	 
