A5_papier_lijst,A5_coefficienten_1_h_B_lijst,A5_fout_coefficienten_1_h_B_lijst,A5_coefficienten_1_v_B_lijst,A5_fout_coefficienten_1_v_B_lijst
1,0.27761364982205433,0.003599596606418319,0.5033209475150966,0.003589449888222243
1,0.27761364982205433,0.003599596606418319,0.5033209475150966,0.003589449888222243
2,0.2659786846685156,0.005483179769765923,0.4696335786290523,0.0034750249745971614
2,0.2578711273460554,0.0040303175983452755,0.47917747697476554,0.0034583880895842608
4,0.20620142637447297,0.003916157941444014,0.39120755031726806,0.002574448042586608
4,0.21776559084138475,0.005361713218150993,0.4213625140536118,0.003033183532891992
6,0.16730335240171904,0.003989752898161457,0.3373396874549293,0.001796346673171647
6,0.17678083314484053,0.0043510200395634295,0.38449477940859506,0.0027413927995389754
8,0.15753081444780684,0.0018899072097061879,0.3326360382366018,0.0024199170924098417
8,0.16037010797024825,0.00319834726435862,0.3340183916664822,0.0023839374340151385
10,0.16598617073678357,0.003661569399057023,0.38200952258995724,0.0026339245333659605
10,0.16227115337000161,0.0028964681221293038,0.3541643706434754,0.002680445494271381
12,0.1755048986724394,0.003208191964145208,0.40920156191285234,0.002807704418031807
12,0.17192651195106998,0.0037424849583874136,0.36208460229308737,0.002791997065667083
14,0.19153517039072432,0.002836805991836655,0.42849790259720855,0.0027556259084994938
14,0.18936739109821615,0.0035125889757493104,0.39836841772188325,0.002999144389335119
16,0.20152065866491986,0.003131510466370203,0.4252033003461865,0.0030856331096044067
16,0.20606547421616986,0.00340041753404895,0.42038502612059075,0.002949390609017856
18,0.2139016584771334,0.003013952970029888,0.45495798513586583,0.003312374600409577
18,0.2168532733984427,0.002882934548452011,0.44195631550673636,0.0035018681064605253
20,0.2334533987955382,0.003366979132091501,0.4628490508903255,0.003029133386105582
20,0.22413390783733164,0.0026687024507147886,0.43204966284418467,0.0030095928005777974
22,0.23538432858026725,0.003877201436651098,0.4453021614468514,0.0029775342303888447
24,0.24212539396738966,0.00308362619466122,0.43991089375852743,0.002850359030667511
24,0.24414181325320544,0.0038948280930446093,0.47206161776326105,0.0031778736599418944
26,0.2702530624004509,0.0036302241782845044,0.47224285672505606,0.0032225012999796613
26,0.2614368033125078,0.0033172570862337923,0.46452441702828406,0.003182656885657973
28,0.2593701778470043,0.0034283817529870094,0.4950617459224531,0.002934311110011711
28,0.2628651047693475,0.002921491429899492,0.4717930305595263,0.0033726579275181203
30,0.294969835975131,0.0037947906785941086,0.5320165133805325,0.004434050354675893
30,0.28152543157056936,0.003732039905219963,0.6382336029588837,0.004991350789872974
32,0.2729713203214871,0.003424767151792353,0.4697099115498578,0.0029971573723013845
32,0.27952650912696503,0.0031723783813010146,0.500589997010368,0.003395303376174565
34,0.28935613469085464,0.0037874474528462694,0.49543828036288823,0.0034344204372769257
34,0.27968001233446743,0.002870445383527474,0.4916542596701017,0.0029459324276022458
36,0.2915009738670499,0.0032510003142886576,0.5079011852663992,0.002918484713055591
36,0.30671200155611755,0.002968596762336951,0.5408103302311048,0.0038396295373394965
38,0.3139821318949936,0.0038430030462788946,0.5306161219291033,0.004048488902201539
38,0.32196640024776213,0.003422638976369415,0.5348210894216314,0.004268956554974245
40,0.33786183585101476,0.0036955687400278695,0.6050777680559439,0.005053798820797081
40,0.35813129496899204,0.0031035168590892092,0.5742683650125632,0.004862010310521912
42,0.29897535292176686,0.0032450508525705963,0.5507481090776092,0.0036807545819645053
42,0.3250885214433908,0.0035406458279327447,0.522683275326866,0.0036095948106827968
44,0.29528618755204505,0.003858635593097243,0.5288156933527354,0.0038783944222704385
44,0.31190940461373157,0.00450554454607743,0.5268049735126411,0.0038119168143004437
45,0.3356467158916271,0.0034596265244464133,0.5736125546477042,0.004043508080286629
45,0.3332571767784494,0.0028978478327271245,0.5450643551505984,0.004056396367343781
