Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8
Tracks 1 to 8
50	159.33678	23.419283	 	251.7018	0.90807176	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51	159.36859	23.41089	 	252.1036	0.9099099	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
52	159.45882	23.348701	 	252.70361	0.91628957	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
53	159.48651	23.323742	 	252.33105	0.9018265	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
54	159.46512	23.234346	 	252.08296	0.91255605	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
55	159.5602	23.179245	 	251.8677	0.90807176	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
56	159.66054	23.116144	 	252.08296	0.91255605	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
57	159.67831	22.990143	 	252.90454	0.9136364	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58	159.79301	22.910395	 	252.08296	0.91255605	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
59	159.90831	22.8514	 	252.8801	0.91628957	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
60	159.9973	22.834532	 	252.45515	0.91704035	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
61	160.0858	22.708447	 	251.46902	0.9159292	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
62	160.05725	22.625223	 	252.28923	0.91704035	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
63	160.0914	22.551075	 	252.08296	0.91255605	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
64	160.13457	22.470297	 	252.05803	0.9151786	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
65	160.05655	22.397667	 	252.1036	0.9099099	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
66	160.00362	22.366426	 	251.92728	0.9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
67	160.0036	22.42536	 	252.50453	0.9117647	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68	159.9314	22.438116	 	252.52272	0.90909094	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
69	159.89192	22.53139	 	252.50453	0.9117647	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
70	159.75267	22.53114	 	251.71622	0.9054054	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
71	159.7241	22.653572	 	251.7018	0.90807176	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
72	159.49554	22.723907	 	252.1036	0.9099099	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
73	159.37814	22.821684	 	251.509	0.9009009	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
74	159.05176	22.928442	 	252.08296	0.91255605	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
75	158.87737	22.980682	 	251.89189	0.9054054	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
76	158.78905	23.056553	 	251.2991	0.90625	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
77	158.77118	23.138716	 	252.31363	0.9045454	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78	158.80322	23.33542	 	251.46902	0.9159292	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
79	158.83691	23.515232	 	251.49103	0.90358746	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
80	158.5781	23.527828	 	251.8677	0.90807176	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
81	158.54317	23.551258	 	251.91176	0.9027149	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
82	158.5747	23.623312	 	252.29185	0.9072398	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
83	158.6045	23.687387	 	252.9	0.9136364	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
84	158.77689	23.829748	 	252.32648	0.9018265	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
85	158.90578	23.88954	 	252.71461	0.9063927	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
86	158.74707	23.813797	 	252.26576	0.9099099	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
87	158.82646	23.992376	 	252.1199	0.9072398	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88	158.94595	24.082884	 	252.1036	0.9099099	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
89	159.09677	24.180107	 	252.73395	0.9036697	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
