A5_papier_lijst,A5_coefficienten_1_h_lijst
1,0.2777336988616473
1,0.2777336988616473
2,0.2660991797147234
2,0.2579928120535838
4,0.20633444977785054
4,0.21789354416107448
6,0.16744683002380803
6,0.17691469673413981
8,0.1576673209740746
8,0.16050727174767002
10,0.16612306034539148
10,0.16240518713579732
12,0.17564116590954
12,0.17205982731419353
14,0.19166939476924713
14,0.18949772660432915
16,0.20165074793105195
16,0.2061955725964332
18,0.21402969714340073
18,0.21697864678028894
20,0.23358023451891075
20,0.2242596409664612
22,0.23551235979490015
22,0.2325850375883315
24,0.24225080633804633
24,0.24426666283458512
26,0.27037596770735284
26,0.2615575397160294
28,0.2594912520915221
28,0.26298420293449354
30,0.29508718269060136
30,0.2816432387156585
32,0.27309308267124555
32,0.27964544511876827
34,0.28947223236975006
34,0.27979769079862127
36,0.291616721144201
36,0.3068255448078203
38,0.3140926105466655
38,0.32207869913584497
40,0.33797267166619926
40,0.358237089665959
42,0.29909130066806183
42,0.3252046702056818
44,0.29539951976484463
44,0.31202789413315263
45,0.33575584785763357
45,0.33336466536403775
46,0.2913149360064433
46,0.3259051476961236
48,0.32115709736381876
48,0.34604048515121894
50,0.3296093974845628
50,0.3344757627044179
52,0.34519247073731096
52,0.34081121961811783
54,0.31229952151375223
54,0.3090916178027511
56,0.3086315975730767
56,0.3286109229613539
58,0.31419960920032847
58,0.32422644770828596
60,0.3224540870372261
60,0.32723815036718956
100,0.3695377576708242
100,0.37480877589360434
150,0.33294584110425157
150,0.33088242194849365
200,0.25361118402019955
200,0.2596163814087029
250,0.20516104584176578
250,0.21289341080342478
300,0.1854217175694864
300,0.19648722215674339
