Frame,X1,Y1,Flag1,X2,Y2,Flag2,X3,Y3,Flag3,X4,Y4,Flag4,X5,Y5,Flag5,X6,Y6,Flag6,X7,Y7,Flag7,X8,Y8,Flag8,X9,Y9,Flag9,X10,Y10,Flag10
60,168,123.28547,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,168.03859,131.5193,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,168.14528,140.17201,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,168.09894,149.17914,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,168.22578,158.43602,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,168.22728,168.01392,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,168.30748,177.9243,177.4951,4.9607844,,,,,,,,,,,,,,,,,,,,,,,,,,
67,168.30943,188.09245,177.56863,5.0539217,,,,,,,,,,,,,,,,,,,,,,,,,,
68,168.27734,198.68619,177.63744,5.2630334,,,,,,,,,,,,,,,,,,,,,,,,,,
69,168.49025,209.57797,177.44064,5.3812785,,,,,,,,,,,,,,,,,,,,,,,,,,
70,168.38933,220.66798,177.33028,5.495413,,,,,,,,,,,,,,,,,,,,,,,,,,
71,168.41849,232.2495,177.07272,5.6136365,,,,,,,,,,,,,,,,,,,,,,,,,,
72,168.47992,244.0723,176.93668,5.818777,,,,,,,,,,,,,,,,,,,,,,,,,,
73,168.51636,256.29346,176.81224,5.9599156,,,,,,,,,,,,,,,,,,,,,,,,,,
74,168.50616,268.66837,176.69583,6.070833,,,,,,,,,,,,,,,,,,,,,,,,,,
75,168.59792,281.45834,175.75967,4.9198895,,,,,,,,,,,,,,,,,,,,,,,,,,
76,168.57384,294.635,176.48761,6.140496,,,,,,,,,,,,,,,,,,,,,,,,,,
77,168.67888,308.0345,175.66216,5.091892,,,,,,,,,,,,,,,,,,,,,,,,,,
78,168.58932,321.79413,175.57239,5.121984,,,,,,,,,,,,,,,,,,,,,,,,,,
79,168.59471,335.72247,175.42683,4.9905148,,,,,,,,,,,,,,,,,,,,,,,,,,
80,168.6592,350.12106,175.48097,4.9891305,,,,,,,,,,,,,,,,,,,,,,,,,,
81,168.64932,364.69458,175.60382,4.9180326,,,,,,,,,,,,,,,,,,,,,,,,,,
82,168.66248,379.65332,175.68005,4.7908587,,,,,,,,,,,,,,,,,,,,,,,,,,
83,168.72014,394.98947,175.5452,4.6553674,,,,,,,,,,,,,,,,,,,,,,,,,,
84,168.69534,410.56976,175.7122,4.5116277,,,,,,,,,,,,,,,,,,,,,,,,,,
85,168.6647,426.47647,175.85843,4.454819,,,,,,,,,,,,,,,,,,,,,,,,,,
86,168.71428,442.68094,176.0283,4.421384,,,,,,,,,,,,,,,,,,,,,,,,,,
87,168.80025,459.12955,175.92905,4.3349833,,,,,,,,,,,,,,,,,,,,,,,,,,
88,168.78711,475.8966,176.26552,4.1517243,,,,,,,,,,,,,,,,,,,,,,,,,,
89,168.69704,492.99753,176.23836,4.12724,,,,,,,,,,,,,,,,,,,,,,,,,,
90,168.75629,510.29648,176.83664,4.881188,,,,,,,,,,,,,,,,,,,,,,,,,,
91,168.795,527.8925,176.99751,4.8134327,,,,,,,,,,,,,,,,,,,,,,,,,,
92,168.73773,545.82556,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,168.79716,564.11755,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,168.76701,582.589,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,168.78827,601.4388,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,168.72798,620.3627,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,168.82974,645.87067,,,,,,,,,,,,,,,,,,,,,,,,,,,,
