Frame,X1,Y1,Flag1,X2,Y2,Flag2,X3,Y3,Flag3,X4,Y4,Flag4,X5,Y5,Flag5,X6,Y6,Flag6,X7,Y7,Flag7,X8,Y8,Flag8,X9,Y9,Flag9,X10,Y10,Flag10
Tracks,1,to,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,149.5396,48.51815,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,149.24507,52.32237,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,149.04173,56.43126,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,148.805,60.911667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,148.52852,65.63926,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,148.24199,70.76813,301.3875,677.74164,,,,,,,,,,,,,,,,,,,,,,,,,,
48,148.02226,76.24144,301.42557,678.2442,,,,,,,,,,,,,,,,,,,,,,,,,,
49,147.73103,81.98793,301.65454,678.0409,,,,,,,,,,,,,,,,,,,,,,,,,,
50,147.49477,87.9555,301,678.20087,,,,,,,,,,,,,,,,,,,,,,,,,,
51,147.28911,94.17311,301.1489,678.26,,,,,,,,,,,,,,,,,,,,,,,,,,
52,147.01328,100.93363,300.72858,678.09186,,,,,,,,,,,,,,,,,,,,,,,,,,
53,146.71506,107.85663,300.87827,678.29565,,,,,,,,,,,,,,,,,,,,,,,,,,
54,146.50902,115.16245,301.8945,677.90826,,,,,,,,,,,,,,,,,,,,,,,,,,
55,146.20018,122.728516,300.9732,678.2143,,,,,,,,,,,,,,,,,,,,,,,,,,
56,145.7899,130.73486,301.81604,678.1226,,,,,,,,,,,,,,,,,,,,,,,,,,
57,145.57303,138.897,301.20615,678.2544,,,,,,,,,,,,,,,,,,,,,,,,,,
58,145.37924,147.43207,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,145.09692,156.26776,301.8611,677.74536,,,,,,,,,,,,,,,,,,,,,,,,,,
60,144.70233,165.40273,301.48697,677.7261,,,,,,,,,,,,,,,,,,,,,,,,,,
61,144.46071,175.04027,301.42828,677.673,,,,,,,,,,,,,,,,,,,,,,,,,,
62,144.1507,184.80739,301.47247,678.1009,,,,,,,,,,,,,,,,,,,,,,,,,,
63,143.97783,194.95766,301.53912,677.6652,,,,,,,,,,,,,,,,,,,,,,,,,,
64,143.54294,205.4366,301.66888,677.7,,,,,,,,,,,,,,,,,,,,,,,,,,
65,143.3905,216.1095,301.3034,677.84186,,,,,,,,,,,,,,,,,,,,,,,,,,
66,143.01572,227.28825,300.92307,677.9872,,,,,,,,,,,,,,,,,,,,,,,,,,
67,142.72198,238.68182,301.55264,677.8246,,,,,,,,,,,,,,,,,,,,,,,,,,
68,142.34665,250.3704,301.79953,678.3261,,,,,,,,,,,,,,,,,,,,,,,,,,
69,142.14192,262.39084,301.63065,677.86035,,,,,,,,,,,,,,,,,,,,,,,,,,
70,141.88597,274.73904,301.24106,678.29913,,,,,,,,,,,,,,,,,,,,,,,,,,
71,141.57848,287.39685,300.51666,678.4083,,,,,,,,,,,,,,,,,,,,,,,,,,
72,141.33716,300.4289,301.52347,678.26526,,,,,,,,,,,,,,,,,,,,,,,,,,
73,141.0685,313.6758,301.3166,678.0415,,,,,,,,,,,,,,,,,,,,,,,,,,
74,140.73434,327.34454,301.20996,678.1104,,,,,,,,,,,,,,,,,,,,,,,,,,
75,140.39952,341.122,300.97256,678.0443,,,,,,,,,,,,,,,,,,,,,,,,,,
76,140.0735,355.36987,301.0111,678.3578,,,,,,,,,,,,,,,,,,,,,,,,,,
77,139.87288,369.8438,300.55667,678.1518,,,,,,,,,,,,,,,,,,,,,,,,,,
78,139.42403,384.80884,300.93033,677.90576,,,,,,,,,,,,,,,,,,,,,,,,,,
79,139.297,399.91855,300.8252,677.8943,,,,,,,,,,,,,,,,,,,,,,,,,,
80,139.02538,415.17767,300.9978,678.2074,,,,,,,,,,,,,,,,,,,,,,,,,,
81,138.64833,430.98337,300.8,677.9708,,,,,,,,,,,,,,,,,,,,,,,,,,
82,138.3866,447.09793,300.76608,678.21674,,,,,,,,,,,,,,,,,,,,,,,,,,
83,138.11719,463.3229,300.78806,678.1502,,,,,,,,,,,,,,,,,,,,,,,,,,
84,137.76984,479.82275,300.84482,678.2931,,,,,,,,,,,,,,,,,,,,,,,,,,
85,137.59973,496.75876,300.44446,678.0952,,,,,,,,,,,,,,,,,,,,,,,,,,
86,137.23224,514.0191,300.7807,678.4737,,,,,,,,,,,,,,,,,,,,,,,,,,
87,136.85083,531.57184,300.6727,677.99396,,,,,,,,,,,,,,,,,,,,,,,,,,
88,136.68767,549.1947,301.22446,678.19336,,,,,,,,,,,,,,,,,,,,,,,,,,
89,136.47191,567.23596,300.652,677.988,,,,,,,,,,,,,,,,,,,,,,,,,,
90,136.0646,585.64886,300.19788,678.4787,,,,,,,,,,,,,,,,,,,,,,,,,,
91,135.82022,604.1573,300.45218,678.0418,,,,,,,,,,,,,,,,,,,,,,,,,,
92,135.53125,622.99713,301.36548,678.1502,,,,,,,,,,,,,,,,,,,,,,,,,,
93,135.15486,645.15485,301.53494,677.62225,,,,,,,,,,,,,,,,,,,,,,,,,,
94,135.15384,637.66724,301.5407,678.0204,,,,,,,,,,,,,,,,,,,,,,,,,,
95,135.08928,629.0179,301.2069,677.8276,,,,,,,,,,,,,,,,,,,,,,,,,,
96,135.02477,620.80457,301.01868,677.8652,,,,,,,,,,,,,,,,,,,,,,,,,,
97,134.9855,613.4837,301.443,677.8114,,,,,,,,,,,,,,,,,,,,,,,,,,
98,134.89372,606.48334,301.77982,677.9312,,,,,,,,,,,,,,,,,,,,,,,,,,
99,134.8135,599.58105,300.3171,677.8696,,,,,,,,,,,,,,,,,,,,,,,,,,
100,134.87682,593.0797,301.27216,677.8038,,,,,,,,,,,,,,,,,,,,,,,,,,
101,134.87143,586.89465,300.1144,678.8263,,,,,,,,,,,,,,,,,,,,,,,,,,
102,134.76025,581.1578,300.77823,677.88306,,,,,,,,,,,,,,,,,,,,,,,,,,
103,134.6993,575.68506,300.84015,677.7787,,,,,,,,,,,,,,,,,,,,,,,,,,
104,134.44624,570.30646,300.58032,678.11847,,,,,,,,,,,,,,,,,,,,,,,,,,
105,134.64311,565.30566,300.31226,678.32855,,,,,,,,,,,,,,,,,,,,,,,,,,
106,134.30594,560.8042,301.1901,677.84296,,,,,,,,,,,,,,,,,,,,,,,,,,
107,134.23555,556.5473,300.39224,678.2759,,,,,,,,,,,,,,,,,,,,,,,,,,
108,134.24171,552.4581,301.00204,677.8251,,,,,,,,,,,,,,,,,,,,,,,,,,
109,134.23218,548.6722,300.589,678.36017,,,,,,,,,,,,,,,,,,,,,,,,,,
110,134.18858,545.2266,301.08875,678.2013,,,,,,,,,,,,,,,,,,,,,,,,,,
111,134.01724,542.2448,300.93375,677.8213,,,,,,,,,,,,,,,,,,,,,,,,,,
112,133.95532,539.4931,300.63864,678.08405,,,,,,,,,,,,,,,,,,,,,,,,,,
113,133.90103,536.86835,300.63565,677.79456,,,,,,,,,,,,,,,,,,,,,,,,,,
114,133.85385,534.6162,300.82812,677.58594,,,,,,,,,,,,,,,,,,,,,,,,,,
115,133.79352,532.785,300.6301,678.1057,,,,,,,,,,,,,,,,,,,,,,,,,,
116,133.65398,531.39,300.1898,678.53265,,,,,,,,,,,,,,,,,,,,,,,,,,
117,133.70953,530.1831,300.9274,677.9398,,,,,,,,,,,,,,,,,,,,,,,,,,
118,133.60017,529.1621,301.39362,677.74255,,,,,,,,,,,,,,,,,,,,,,,,,,
119,133.5661,528.5475,301.1087,678.24347,,,,,,,,,,,,,,,,,,,,,,,,,,
120,133.44746,528.3305,300.2197,677.9583,,,,,,,,,,,,,,,,,,,,,,,,,,
121,133.28885,528.3497,301.07916,677.9042,,,,,,,,,,,,,,,,,,,,,,,,,,
122,133.32095,528.60474,300.4685,677.8819,,,,,,,,,,,,,,,,,,,,,,,,,,
123,133.11224,529.38605,300.74783,678.3435,,,,,,,,,,,,,,,,,,,,,,,,,,
124,133.03795,530.1543,300.46185,678.38135,,,,,,,,,,,,,,,,,,,,,,,,,,
125,132.89049,531.4677,301.375,677.9267,,,,,,,,,,,,,,,,,,,,,,,,,,
126,132.86752,533.0316,300.8424,677.61676,,,,,,,,,,,,,,,,,,,,,,,,,,
127,132.74744,534.8072,300.55737,678.0205,,,,,,,,,,,,,,,,,,,,,,,,,,
128,132.70898,536.9888,300.79535,678.2384,,,,,,,,,,,,,,,,,,,,,,,,,,
129,132.76125,539.436,300.94214,677.97107,,,,,,,,,,,,,,,,,,,,,,,,,,
130,132.49475,542.0839,301.0022,678.30615,,,,,,,,,,,,,,,,,,,,,,,,,,
131,132.55191,545.2422,300.864,678.0774,,,,,,,,,,,,,,,,,,,,,,,,,,
132,132.37413,548.5612,300.85828,677.7638,,,,,,,,,,,,,,,,,,,,,,,,,,
133,132.27113,552.26935,300.62396,678.2562,,,,,,,,,,,,,,,,,,,,,,,,,,
134,132.2416,556.3761,300.6265,677.9783,,,,,,,,,,,,,,,,,,,,,,,,,,
