Frame X1 Y1 Flag1 X2 Y2 Flag2 X3 Y3 Flag3 X4 Y4 Flag4 X5 Y5 Flag5 X6 Y6 Flag6 X7 Y7 Flag7 X8 Y8 Flag8
Tracks 1 to 8                     
144 167.3766 466.52057 301.63525 670.33575                    
145 167.57732 483.17526 301.67142 670.14764                    
146 167.45526 500.08685 301.28 670.58                    
147 167.50266 517.2613 301.27316 670.4537                    
148 167.53467 534.68933 300.94174 670.9126                    
149 167.62129 552.47034 300.92273 670.5409                    
150 167.63315 570.44836 301.45215 670.38995                    
151 167.6566 588.8736 301.14734 670.78986                    
152 167.44551 607.4591                      
153 167.637 627.9406                      
154 167.6978 643.46094                      
155 167.72758 630.8862                      
156 167.88446 619.3466                      
157 167.93713 609.34717                      
158 167.94788 599.67377                      
159 167.98062 590.27905                      
160 168.13219 581.182                      
161 168.46 572.1857                      
162 168.47566 563.85016                      
163 168.49258 555.7746                      
164 168.55185 547.887                      
165 168.7214 540.31366                      
166 168.83879 532.9572                      
167 168.91907 526.0665                      
168 168.90958 519.5053                      
169 169.02043 513.11456                      
170 169.12544 507.02298                      
171 169.13002 501.31674                      
172 169.29861 495.9514                      
173 169.3487 490.92783                      
174 169.52768 486.00345                      
175 169.53395 481.4966                      
176 169.54898 477.42737                      
177 169.69322 473.5678                      
178 169.83786 470.00934                      
179 169.97731 466.65128                      
180 169.95638 463.89093                      
181 169.97841 461.2525                      
182 170.033 459.04456                      
183 170.05025 457.06012                      
184 170.2234 455.35925                      
185 170.11818 454.18265                      
186 170.22578 453.05994                      
187 170.32178 452.34982                      
188 170.41298 451.7939                      
189 170.472 451.6977 301.64563 670.24756                    
190 170.54099 451.97705 301.37625 670.65344                    
191 170.64778 452.46222 301.38834 670.5631                    
192 170.7876 453.35123 301.29105 670.59454                    
193 170.82951 454.4033 300.97867 670.6232                    
194 170.89503 455.9496 301.699 670.3408                    
195 170.89667 457.76666 301.89423 669.99036                    
196 170.89238 459.92715 301.87018 669.9567                    
197 170.95529 462.3477 301.3785 670.0888                    
198 170.95667 465.265 301.201 670.4461                    
199 170.95682 468.23254 301.5936 670.2685                    
200 171.00676 471.58615 301.70193 670.1394                    
201 170.99916 475.36633 301.1766 670.90796                    
202 170.9949 479.30273 301.38727 670.63727                    
203 171.00597 483.56644 301.355 670.725                    
204 171.14726 488.06335 301.33575 670.5048                    
205 171.15979 493.08936 301.19586 670.41705                    
206 171.25478 498.14868 301.10287 670.65314                    
207 171.16841 503.7548 301.2383 670.3318                    
208 171.16081 509.6406 300.92926 670.8122                    
209 171.26855 515.7668                      
210 171.35947 522.34686                      
211 171.3309 529.1891                      
212 171.36703 536.3779                      
213 171.35191 543.69745                      
214 171.3582 551.47424                      
215 171.3513 559.4814                      
216 171.31285 567.9216                      
217 171.21428 576.5658                      
218 171.37878 585.4545                      
219 171.31178 594.77185                      
220 171.33333 604.18585                      
221 171.35715 614.05597                      
222 171.39784 624.9122                      
223 171.40398 636.154                      
224 171.57584 645.1742                      
225 171.58435 636.56134                      
226 171.83228 630.63257                      
227 171.9943 624.85236                      
228 172.19295 619.1795                      
229 172.21669 614.3769                      
230 172.58629 609.85364                      
231 172.75249 605.49835                      
232 172.9437 601.63947                      
233 173.0405 598.13306                      
234 173.15512 594.73926 301.4005 670.6244                    
235 173.3723 591.6111 301.18225 670.1028                    
236 173.61382 589.0122 301.11502 670.5047                    
237 173.71417 586.58075 301.3209 670.7687                    
238 173.9076 584.5165 301.00464 670.4583                    
239 174.0712 582.7291 301.07346 670.6848                    
240 174.31744 581.24634 300.65982 670.468                    
241 174.4387 580.0597 301.0631 670.6019                    
242 174.54355 579.25323 301.14252 670.4034                    
243 174.78847 578.8045 301.03885 670.79126                    
244 174.92949 578.6362 301.43457 670.1682                    
245 175 578.72754 301.2799 670.46173                    
246 175.08804 579.1236 300.9683 670.59753                    
247 175.29582 579.96625 301.36273 670.58826                    
248 175.48712 581.0234 301.19116 670.7304                    
249 175.59608 582.40717 301.39474 670.32776                    
250 175.77228 584.02185 301.51416 670.1415                    
