Frame,X1,Y1,Flag1,X2,Y2,Flag2,X3,Y3,Flag3,X4,Y4,Flag4,X5,Y5,Flag5,X6,Y6,Flag6
99,125.66759,628.9328,,,,,,,,,,,,,,,,
100,124.92722,622.8081,,,,,,,,,,,,,,,,
101,124.402985,617.31903,,,,,,,,,,,,,,,,
102,123.60821,612.0989,,,,,,,,,,,,,,,,
103,122.94507,607.068,,,,,,,,,,,,,,,,
104,122.33148,602.31854,,,,,,,,,,,,,,,,
105,121.93066,597.8431,,,,,,,,,,,,,,,,
106,121.144035,593.88165,,,,,,,,,,,,,,,,
107,120.4637,590.1352,,,,,,,,,,,,,,,,
108,119.673676,586.7377,,,,,,,,,,,,,,,,
109,119.14469,583.4011,,,,,,,,,,,,,,,,
110,118.49106,580.4785,,,,,,,,,,,,,,,,
111,117.8088,577.9901,,,,,,,,,,,,,,,,
112,117.17325,575.85547,,,,,,,,,,,,,,,,
113,116.64234,573.7919,,,,,,,,,,,,,,,,
114,116.03214,571.9393,,,,,,,,,,,,,,,,
115,115.182625,570.66315,,,,,,,,,,,,,,,,
116,114.558716,569.62634,,,,,,,,,,,,,,,,
117,113.9596,568.9937,,,,,,,,,,,,,,,,
118,113.37874,568.37524,,,,,,,,,,,,,,,,
119,112.82628,568.24603,,,,,,,,,,,,,,,,
120,112.167854,568.36145,,,,,,,,,,,,,,,,
121,111.36396,568.8569,,,,,,,,,,,,,,,,
122,110.757545,569.6616,,,,,,,,,,,,,,,,
123,110.310715,570.7286,,,,,,,,,,,,,,,,
124,109.61072,572.0125,,,,,,,,,,,,,,,,
125,108.9086,573.8154,,,,,,,,,,,,,,,,
126,108.224686,575.7771,,,,,,,,,,,,,,,,
127,107.51954,577.9458,,,,,,,,,,,,,,,,
128,106.95633,580.5749,,,,,,,,,,,,,,,,
129,106.3579,583.4112,,,,,,,,,,,,,,,,
130,105.716606,586.79425,,,,,,,,,,,,,,,,
131,105.16068,590.0799,,,,,,,,,,,,,,,,
132,104.42308,593.8793,,,,,,,,,,,,,,,,
