Frame,X1,Y1,Flag1,X2,Y2,Flag2,X3,Y3,Flag3,X4,Y4,Flag4,X5,Y5,Flag5
134,153.90285,643.2046,,,,,,,,,,,,,
135,153.79498,640.7382,,,,,,,,,,,,,
136,153.70555,638.606,168.92548,0.6788618,,,,,,,,,,,
137,153.61476,636.9213,168.56183,0.6854839,,,,,,,,,,,
138,153.40656,635.3033,168.27446,0.67663044,,,,,,,,,,,
139,153.24754,634.0918,170.18259,0.6488764,,,,,,,,,,,
140,153.03455,633.08386,170.87393,0.64164305,,,,,,,,,,,
141,152.91803,632.7115,169.56354,0.6629834,,,,,,,,,,,
142,152.78033,632.63605,166.05182,0.7150259,,,,,,,,,,,
143,152.5936,632.7381,165.98224,0.7309645,,,,,,,,,,,
144,152.33606,633.0492,165.83766,0.712987,,,,,,,,,,,
145,152.18852,633.70654,167.90323,0.6854839,,,,,,,,,,,
146,151.95573,634.85736,168.08379,0.68108106,,,,,,,,,,,
147,151.8328,636.159,167.00262,0.7068063,,,,,,,,,,,
148,151.82901,637.8679,165.99869,0.70887727,,,,,,,,,,,
149,151.8135,639.8167,167.90591,0.6854839,,,,,,,,,,,
150,151.57028,642.05273,170.72438,0.6606648,,,,,,,,,,,
151,151.37517,647.6327,170.6108,0.63920456,,,,,,,,,,,
152,151.07854,648.84424,170.06572,0.6342857,,,,,,,,,,,
153,151.13399,647.9183,169.76111,0.65833336,,,,,,,,,,,
154,150.9248,647.215,170.53006,0.6721311,,,,,,,,,,,
155,150.76459,646.6805,168.95108,0.67663044,,,,,,,,,,,
156,150.4067,643.9355,169.153,0.6721311,,,,,,,,,,,
157,150.20564,646.6129,170.26244,0.6629834,,,,,,,,,,,
158,150.03561,647.39185,170.73901,0.6675824,,,,,,,,,,,
159,149.94128,648.2084,168.37968,0.6898396,,,,,,,,,,,
160,149.69614,649.2703,165.51543,0.7210797,,,,,,,,,,,
161,149.51793,649.35913,165.89433,0.71907216,,,,,,,,,,,
162,149.25194,649.0969,166.78084,0.70472443,,,,,,,,,,,
163,148.98058,649.00256,168.27718,0.67663044,,,,,,,,,,,
164,148.8527,649.1667,168.48361,0.6721311,,,,,,,,,,,
165,148.71936,649.52454,166.49734,0.6962865,,,,,,,,,,,
166,148.55974,649.7065,166.38744,0.7068063,,,,,,,,,,,
167,148.44072,649.58374,167.84688,0.6788618,,,,,,,,,,,
168,148.10129,649.64233,171.39577,0.6464789,,,,,,,,,,,
169,147.88817,649.8149,170.6108,0.63920456,,,,,,,,,,,
170,147.66518,649.7612,170.18259,0.6488764,,,,,,,,,,,
171,147.52707,649.8234,168.03679,0.6743869,,,,,,,,,,,
172,147.44171,649.87305,168.08919,0.68108106,,,,,,,,,,,
173,147.1757,649.81396,168.95653,0.67663044,,,,,,,,,,,
174,146.85309,649.86084,169.80853,0.6652893,,,,,,,,,,,
175,146.52068,649.9535,168.46721,0.6721311,,,,,,,,,,,
176,146.30959,649.9728,168.3275,0.6832884,,,,,,,,,,,
177,146.26062,650.0521,166.56316,0.7026316,,,,,,,,,,,
178,146.08914,650.1279,165.23506,0.712987,,,,,,,,,,,
179,145.88918,650.183,165.83766,0.712987,,,,,,,,,,,
180,145.49103,650.2577,167.12865,0.6962865,,,,,,,,,,,
181,145.31538,650.24615,169.19106,0.6788618,,,,,,,,,,,
182,145.20811,650.3997,168.3275,0.6832884,,,,,,,,,,,
183,145.06361,650.43256,167.53723,0.69414896,,,,,,,,,,,
184,144.81558,650.5545,167.36243,0.6984127,,,,,,,,,,,
185,144.6196,650.43384,168.03134,0.6743869,,,,,,,,,,,
186,144.29468,650.4468,170.18259,0.6488764,,,,,,,,,,,
187,144.10892,650.4809,170.6108,0.63920456,,,,,,,,,,,
188,143.91176,650.4054,169.97206,0.65363127,,,,,,,,,,,
189,143.80946,650.5153,167.48392,0.68766755,,,,,,,,,,,
190,143.58673,650.6964,167.48392,0.68766755,,,,,,,,,,,
191,143.31529,650.7102,167.52466,0.669863,,,,,,,,,,,
192,142.99745,650.7277,167.78142,0.6721311,,,,,,,,,,,
193,142.76114,650.7701,167.71925,0.6898396,,,,,,,,,,,
194,142.6597,650.94867,165.23506,0.712987,,,,,,,,,,,
