Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7
Tracks 1 to 7
50	163.91373	23.565489	 	 	 	 	260.7857	680.7476	 	 	 	 	 	 	 	 	 	 	 	 	 
51	164.26459	24.550303	 	 	 	 	263.96948	680.5282	 	 	 	 	 	 	 	 	 	 	 	 	 
52	164.56693	25.699806	 	 	 	 	260.61484	680.7632	 	 	 	 	 	 	 	 	 	 	 	 	 
53	164.71436	26.960392	 	 	 	 	260.60837	680.8054	 	 	 	 	 	 	 	 	 	 	 	 	 
54	165.0494	28.512003	 	 	 	 	259.98584	680.75	 	 	 	 	 	 	 	 	 	 	 	 	 
55	165.4399	43.421535	*	 	 	 	262.74536	680.62964	 	165.01836	13.3336935	 	 	 	 	 	 	 	 	 	 
56	165.34317	46.97049	*	 	 	 	260.86987	680.6461	 	165.535	12.926696	 	 	 	 	 	 	 	 	 	 
57	165.34525	50.867348	*	 	 	 	260.23685	680.71533	 	166.2239	12.67174	 	 	 	 	 	 	 	 	 	 
58	165.41081	55.25986	*	 	 	 	263.20587	680.5679	 	166.86842	12.263158	 	 	 	 	 	 	 	 	 	 
59	165.41986	59.907665	*	 	 	 	261.14624	680.72644	 	167.39473	12.105263	 	 	 	 	 	 	 	 	 	 
60	165.29094	64.65679	*	 	 	 	263.5095	680.5948	 	167.83113	11.749448	 	 	 	 	 	 	 	 	 	 
61	165.3478	70.013275	 	 	 	 	262.67328	680.76733	 	168.35193	11.447608	 	 	 	 	 	 	 	 	 	 
62	165.2666	75.35638	 	 	 	 	260.45068	680.6345	 	168.77777	11.322222	 	 	 	 	 	 	 	 	 	 
63	165.32014	81.23921	 	 	 	 	260.53317	680.7417	 	169.14853	11.014739	 	 	 	 	 	 	 	 	 	 
64	165.22131	87.42168	 	 	 	 	260.46295	680.66205	 	169.35747	10.723982	 	 	 	 	 	 	 	 	 	 
65	165.22162	93.77473	 	 	 	 	261.07547	680.65094	 	169.61644	10.554794	 	 	 	 	 	 	 	 	 	 
66	165.29234	100.57832	 	 	 	 	261.21698	680.67926	 	169.89594	10.497738	 	 	 	 	 	 	 	 	 	 
67	165.1854	107.58989	 	 	 	 	262.24286	680.6619	 	169.92664	10.5	 	 	 	 	 	 	 	 	 	 
68	165.19333	115.0981	 	 	 	 	263.40366	680.5321	 	169.7854	10.502247	 	 	 	 	 	 	 	 	 	 
69	165.13391	122.76012	 	 	 	 	260.32568	680.6605	 	169.78152	10.475225	 	 	 	 	 	 	 	 	 	 
70	165.06836	130.83789	 	 	 	 	263.53738	680.472	 	169.74774	10.472973	 	 	 	 	 	 	 	 	 	 
71	165.07281	139.1466	 	 	 	 	260.94812	680.717	 	169.6219	10.443566	 	 	 	 	 	 	 	 	 	 
72	165.05118	147.7067	 	 	 	 	261.3052	680.5693	 	169.63092	10.407449	 	 	 	 	 	 	 	 	 	 
73	165.05602	156.7118	 	 	 	 	260.91705	680.7038	 	169.3555	10.408257	 	 	 	 	 	 	 	 	 	 
74	164.98676	165.99083	 	 	 	 	264.375	680.5817	 	169.26591	10.452272	 	 	 	 	 	 	 	 	 	 
75	164.88144	175.65051	 	 	 	 	260.82858	680.78094	 	169.07727	10.529546	 	 	 	 	 	 	 	 	 	 
76	164.81601	185.48753	 	 	 	 	260.1542	680.7804	 	169.1082	10.59795	 	 	 	 	 	 	 	 	 	 
77	164.9042	195.79895	 	 	 	 	260.27927	680.6892	 	168.84703	10.614155	 	 	 	 	 	 	 	 	 	 
78	164.87634	206.25484	 	 	 	 	260.24762	680.7524	 	168.78929	10.6731205	 	 	 	 	 	 	 	 	 	 
79	164.73851	217.093	 	 	 	 	261.38995	680.7488	 	168.7032	10.737443	 	 	 	 	 	 	 	 	 	 
80	164.80702	228.30045	 	 	 	 	262.73422	680.53156	 	168.67702	10.711494	 	 	 	 	 	 	 	 	 	 
81	164.7138	239.8697	 	 	 	 	261.04672	680.71027	 	168.6445	10.678899	 	 	 	 	 	 	 	 	 	 
82	164.637	251.58904	 	 	 	 	262.46262	680.59814	 	168.57762	10.662101	 	 	 	 	 	 	 	 	 	 
83	164.63824	263.62903	 	 	 	 	263.05554	680.6389	 	168.59589	10.634704	 	 	 	 	 	 	 	 	 	 
84	164.55069	276.2143	 	 	 	 	259.9344	680.67194	 	168.4611	10.625858	 	 	 	 	 	 	 	 	 	 
85	164.47878	288.87027	 	 	 	 	262.0762	680.6667	 	168.46536	10.601617	 	 	 	 	 	 	 	 	 	 
86	164.46844	302.00244	 	 	 	 	261.99545	680.58636	 	168.51613	10.6405525	 	 	 	 	 	 	 	 	 	 
87	164.56128	315.2157	 	 	 	 	261.1547	680.5942	 	168.8318	10.599078	 	 	 	 	 	 	 	 	 	 
88	164.40417	328.95456	 	 	 	 	262.5982	680.49554	 	168.96118	10.518265	 	 	 	 	 	 	 	 	 	 
89	164.29105	342.94528	 	 	 	 	261.62613	680.5946	 	168.7	10.332558	 	 	 	 	 	 	 	 	 	 
90	164.27863	357.19467	 	 	 	 	264.61298	680.2071	 	168.971	10.274942	 	 	 	 	 	 	 	 	 	 
91	164.26486	371.81525	 	 	 	 	260.20184	680.66516	 	169.0808	10.129976	 	 	 	 	 	 	 	 	 	 
92	164.08267	386.7047	 	 	 	 	261.75464	680.62036	 	168.98471	10.008235	 	 	 	 	 	 	 	 	 	 
93	164.03084	401.85388	 	 	 	 	263.12735	680.5849	 	169.07512	9.9553995	 	 	 	 	 	 	 	 	 	 
94	163.94809	417.4727	 	 	 	 	262.37552	680.4668	 	169.25813	9.855814	 	 	 	 	 	 	 	 	 	 
95	163.90997	433.27563	 	 	 	 	261.69635	680.63245	 	169.1714	9.712766	 	 	 	 	 	 	 	 	 	 
96	163.9429	449.26324	 	 	 	 	264.00894	680.46875	 	169.22833	9.635832	 	 	 	 	 	 	 	 	 	 
97	163.88719	465.61978	 	 	 	 	261.02274	680.4818	 	169.04137	9.601655	 	 	 	 	 	 	 	 	 	 
98	163.60512	482.18182	 	 	 	 	260.9	680.3625	 	169.08908	9.490499	 	 	 	 	 	 	 	 	 	 
99	163.7722	499.17334	 	 	 	 	265.05093	680.5	 	169.0772	9.42399	 	 	 	 	 	 	 	 	 	 
100	163.42105	516.3801	 	 	 	 	261.27335	680.63336	 	169.0895	9.371121	 	 	 	 	 	 	 	 	 	 
101	163.62941	533.9353	 	 	 	 	262.48724	680.3468	 	169.09616	9.324519	 	 	 	 	 	 	 	 	 	 
102	163.50899	551.7515	 	 	 	 	262.21674	680.4142	 	168.95543	9.278314	 	 	 	 	 	 	 	 	 	 
103	163.36568	569.8552	 	 	 	 	261.43854	680.43445	 	169.00597	9.239857	 	 	 	 	 	 	 	 	 	 
104	163.33232	588.2317	 	 	 	 	258.66888	680.68225	 	168.83414	9.254807	 	 	 	 	 	 	 	 	 	 
