A5_papier_lijst,A5_coefficienten_1_h_O_lijst,A5_fout_coefficienten_1_h_O_lijst,A5_coefficienten_1_v_O_lijst,A5_fout_coefficienten_1_v_O_lijst
1,0.3119028297575287,0.005342488940751388,0.5776326145253855,0.004651232709005228
1,0.2988293273068549,0.005500301491134946,0.5443607791782624,0.005760875436706409
2,0.28201112627544445,0.005549364075526932,0.5144126171566167,0.005232096960919405
2,0.2889434887617561,0.006544139455354862,0.4809129786625388,0.0048562756771140594
4,0.22784529716604446,0.0061640550528723964,0.41580344736441915,0.00434156614431067
4,0.22175168453038424,0.0048599201622137565,0.44126982949783405,0.00467531460444047
6,0.18408432576772454,0.005424475951099951,0.3878899214862234,0.0039061975598947106
6,0.1873565916847325,0.004790674319748738,0.31265082956259604,0.0027507764434229836
8,0.19191649137881092,0.0039556390575351515,0.38401978424036265,0.0038890329310832757
8,0.19098720752108508,0.0039883710226787505,0.350991518337119,0.0033745480886154494
10,0.1959338819995782,0.004148143181168645,0.3826640848162445,0.004392144986226822
10,0.20337808448831687,0.00413614519110125,0.4197842419572321,0.004337854007979196
12,0.21962853155728548,0.004697643035603846,0.4391647641148572,0.004709030940471123
12,0.2349206360031449,0.004534485344733378,0.45860864937222884,0.0035942318835256995
14,0.23122932440219354,0.004811664037325549,0.41867877749498295,0.004616215780584309
14,0.23443948470649406,0.004933093435192395,0.42820955457428483,0.004264120840407935
16,0.2563053922918035,0.005509424575239752,0.4858292856146388,0.004069087110575466
16,0.25013815211906565,0.005058002006505759,0.49642708290769355,0.0030218181228170117
18,0.26448540007024435,0.004509747599354255,0.49245220820797947,0.005343049010296687
18,0.2630420481658482,0.004336127071207975,0.49439483382993826,0.005463877009323802
20,0.28132424894020874,0.004226588947742759,0.4805298979664158,0.004287993542176184
20,0.27992810885785163,0.004823513924995322,0.44983129560467033,0.004375039648803459
22,0.26459147174473835,0.00423602896521801,0.4419809091768277,0.005445629622535918
22,0.25858188309509167,0.0055810367666925586,0.45562900887173535,0.0056418618240025005
24,0.2809072806504606,0.00518846639452145,0.48621702665266187,0.0048198971604551805
24,0.28248410325592244,0.004496405525287736,0.4686562667128659,0.00459417489014579
26,0.27162604109824007,0.00428906672772119,0.5012737388342511,0.006313425663425103
26,0.2951410997697389,0.005410625355286868,0.5347655267982485,0.005453503372773902
28,0.2991782161881089,0.004756922994101335,0.5350857585412196,0.0048069797699063135
28,0.28932958980491114,0.004497455031530677,0.505715287231701,0.002532937864964515
30,0.32216075743776434,0.004186987866043671,0.572367233827658,0.008183719124977345
30,0.32954687694904655,0.003800300848786993,0.5837143772480318,0.007236056261724533
32,0.32146192814093644,0.005668254351465455,0.5488096851787531,0.004430740324592731
32,0.30574831086728615,0.005475311903050874,0.5413704353904698,0.004407924449278683
34,0.3226378349884255,0.004035670232433966,0.508665207170621,0.005884789584451788
34,0.3526261651833025,0.004731273534000582,0.518098081220185,0.005537998269521492
36,0.35223432693154266,0.005521994321332174,0.5142491415256318,0.004548643745815311
36,0.3254690929364257,0.005203993220112662,0.5503750346866269,0.0026316536399962416
38,0.31716196894257437,0.0043102251387968,0.5665714886624078,0.008200987515206969
38,0.33046022675548653,0.0042328381795148345,0.5767860853046737,0.006505568052601741
40,0.3564573852299128,0.003799659642132197,0.6242045355572791,0.008508120208245007
40,0.35679342681194043,0.003915422055478223,0.6522027173173466,0.009019235352728958
42,0.31915693640373144,0.004745066387075748,0.5063242660764256,0.005964883538564547
42,0.35351996471890457,0.005048231279864152,0.5904273146208658,0.006942892620601836
44,0.32502799385612285,0.0055198426867005355,0.5943652018402884,0.008170056998911426
44,0.35979299046457974,0.0046906352337209535,0.5928854391681645,0.00720677244563113
