Frame,X1,Y1,Flag1,X2,Y2,Flag2
Tracks,1,to,2,,,
1,137.67374,17.270424,,,,
2,137.54797,17.350885,,,,
3,137.45203,17.400938,,,,
4,137.35715,17.437435,,,,
5,137.29271,17.54375,,,,
6,137.24036,17.581335,,,,
7,137.14706,17.709034,,,,
8,137.17749,17.825655,,,,
9,137.078,17.884293,,,,
10,136.91849,17.970406,,,,
11,136.82228,18.09171,,,,
12,136.71199,18.12151,,,,
13,136.64552,18.363825,,,,
14,136.55142,18.586044,,,,
15,136.43724,18.797071,,,,
16,136.4553,19.22973,,,,
17,136.43892,19.580746,,,,
18,136.51764,20.28942,,,,
19,136.62398,21.075203,,,,
20,136.69014,22.103622,,,,
21,137.0301,23.393387,,,,
22,137.08963,24.432076,,,,
23,137.20729,25.483095,,,,
24,137.35362,26.974894,,,,
25,137.6951,28.660473,,,,
26,136.50932,43.548138,*,,,
27,136.53154,47.399055,*,,,
28,136.4367,51.655064,*,,,
29,136.37282,56.054848,*,,,
30,136.32884,61.01664,*,,,
31,136.19194,66.09355,,,,
32,136.23727,71.539406,,,,
33,136.22981,77.42751,,,,
34,136.18106,83.441864,,,,
35,136.0109,89.81658,,,,
36,135.9214,96.50502,,,,
37,135.91568,103.55792,,,,
38,135.76073,111.000854,,,,
39,135.66231,118.61518,,,,
40,135.63274,126.62212,,,,
41,135.54991,134.91176,,,,
42,135.43346,143.53596,,,,
43,135.39397,152.47806,,,,
44,135.24164,161.75093,,,,
45,135.08911,171.38744,,,,
46,135.04024,181.29884,,,,
47,135,191.58846,,,,
48,134.95,202.04231,,,,
49,134.80058,213.00883,,,,
50,134.65874,224.22818,,,,
51,134.71327,235.7012,,,,
52,134.57552,247.55919,,,,
53,134.49794,259.7004,,,,
54,134.42276,272.1242,,,,
55,134.33582,285.04797,,,,
56,134.30258,298.00214,,,,
57,134.02736,311.49124,,,,
58,134.02097,325.29028,,,,
59,133.9509,339.3259,,,,
60,133.7764,353.60336,,,,
61,133.65973,368.29398,,,,
62,133.60623,383.2783,,,,
63,133.54225,398.54227,,,,
64,133.38193,413.97952,,,,
65,133.2198,429.8889,,,,
66,133.23058,446.00244,,,,
67,133.11823,462.64038,,,,
68,133.04839,479.3263,,,,
69,132.9399,496.33887,,,,
70,132.8528,513.566,,,,
71,132.77507,531.3612,,,,
72,132.7141,549.25195,,,,
73,132.59138,567.4321,,,,
74,132.56267,585.8055,,,,
75,132.30052,604.5337,,,,
76,132.31435,625.6772,,,,
77,132.12514,641.11707,,,,
78,132.11166,627.76,,,,
79,131.9728,616.14166,,,,
80,131.87196,606.3131,,,,
81,131.81471,596.8035,,,,
82,131.55545,587.5203,,,,
83,131.48895,578.47424,,,,
84,131.5534,569.6749,,,,
85,131.41075,561.43445,,,,
86,131.17941,553.4818,,,,
87,130.98175,545.70984,,,,
88,130.91261,538.26215,,,,
89,130.8672,531.0312,,,,
90,130.73499,524.2986,,,,
91,130.55438,517.9,,,,
92,130.38617,511.6226,,,,
93,130.31708,505.6289,,,,
94,130.19914,499.94104,,,,
95,130.113,494.92123,,,,
96,129.94464,489.90546,,,,
97,129.89932,485.27325,,,,
98,129.73589,480.7475,,,,
99,129.64452,476.74417,,,,
100,129.50333,473.21548,,,,
101,129.4752,469.68018,,,,
102,129.2397,466.59555,,,,
103,129.171,463.8811,,,,
104,128.95807,461.49356,,,,
105,128.78293,459.4317,,,,
106,128.69576,457.59952,,,,
107,128.49675,456.0828,,,,
108,128.31421,454.9055,,,,
109,128.10065,454.09253,,,,
110,128.13174,453.49344,,,,
111,128.02266,453.089,,,,
112,127.90065,453.13193,,,,
113,127.71533,453.58157,,,,
114,127.61165,454.3123,,,,
115,127.48867,455.28156,,,,
116,127.30851,456.50983,,,,
117,127.10755,458.2701,,,,
118,126.958885,460.2944,,,,
119,126.81353,462.47855,,,,
120,126.69702,465.1904,,,,
121,126.480034,468.03244,,,,
122,126.223335,471.35834,,,,
123,126.05224,474.78027,,,,
124,125.94426,478.5832,,,,
125,125.69024,482.7256,,,,
126,125.701355,487.19373,,,,
127,125.479416,491.93225,,,,
128,125.35026,496.9785,,,,
129,125.11591,502.2249,,,,
130,125.03415,507.98862,,,,
131,124.893295,513.96735,,,,
132,124.801956,520.2957,,,,
133,124.56989,526.8692,,,,
134,124.333336,533.7373,,,,
135,124.16909,541.13275,,,,
136,123.99724,548.6234,,,,
137,123.91959,556.537,,,,
138,123.71004,564.7528,,,,
139,123.42764,573.20685,,,,
140,123.22317,581.8917,,,,
141,123.044945,591.03186,,,,
142,122.92344,600.21075,,,,
143,122.805504,609.89276,,,,
144,122.63059,620.5429,,,,
145,122.367096,631.6686,,,,
146,122.246475,639.7089,,,,
147,122.189545,630.0694,,,,
148,122.07987,623.869,,,,
149,121.97579,617.79047,,,,
150,121.66107,612.2349,,,,
151,121.51855,607.3347,,,,
152,121.22408,602.58026,,,,
153,121.13131,598.2542,,,,
154,120.99833,594.3077,,,,
155,120.75828,590.54803,,,,
156,120.54785,587.1733,,,,
157,120.40413,583.92645,,,,
158,120.20196,581.0342,,,,
159,120.04234,578.5538,,,,
160,119.90325,576.4236,,,,
161,119.79248,574.3758,,,,
162,119.68123,572.73303,,,,
163,119.41967,571.3738,,,,
164,119.25244,570.4674,,,,
165,119.11713,569.87805,,,,
166,118.863045,569.44,,,,
167,118.77922,569.4432,,,,
168,118.52439,569.7699,,,,
169,118.23744,570.4352,,,,
170,118.17314,571.30096,,,,
171,117.971725,572.5194,,,,
172,117.78409,574.0617,,,,
173,117.54207,575.9126,,,,
174,117.345024,578.04486,,,,
175,117.147446,580.47034,,,,
176,116.99261,583.0977,,,,
177,116.86092,586.2417,,,,
178,116.558044,589.5481,,,,
179,116.48179,593.27814,,,,
180,116.339195,597.227,,,,
181,116.02189,601.4209,,,,
182,115.9,606.0227,,,,
183,115.70777,611.01013,,,,
184,115.54907,616.2631,,,,
185,115.34355,622.4387,,,,
186,115.04673,628.64795,,,,
187,114.68722,639.66327,,,,
188,114.58591,640.374,,,,
189,114.58929,632.70984,,,,
190,114.404106,629.1012,,,,
191,114.205345,625.8206,,,,
192,114.03882,622.84314,,,,
193,113.89906,620.20264,,,,
194,113.77027,617.6494,,,,
195,113.6808,615.4152,,,,
196,113.55949,613.80865,,,,
197,113.42258,612.371,,,,
198,113.111115,611.3254,,,,
199,113,610.6581,,,,
200,112.83601,610.1415,,,,
201,112.675156,610.172,,,,
202,112.42,610.4472,,,,
203,112.292725,610.93195,,,,
204,112.15385,611.8814,,,,
205,111.948166,612.9003,,,,
206,111.86102,614.48883,,,,
207,111.69085,616.3154,,,,
208,111.48746,618.4357,,,,
209,111.305595,620.99457,,,,
210,111.17802,623.661,,,,
211,110.97939,626.897,,,,
212,110.932434,630.2012,,,,
213,110.74963,633.9581,,,,
214,110.282906,641.27277,*,,,
215,110.1314,640.7728,,,,
216,110.166664,634.15204,,,,
217,109.96981,632.2982,,,,
218,109.82445,630.6452,,,,
219,109.50595,629.4881,,,,
220,109.35778,628.5578,,,,
221,109.166664,627.88116,,,,
222,109.06109,627.6101,,,,
223,108.87087,627.5991,,,,
224,108.64179,627.92834,,,,
225,108.43582,628.5507,,,,
226,108.409225,629.4315,,,,
227,108.19688,630.6367,,,,
228,108.02065,632.26843,,,,
229,107.819305,634.1183,,,,
230,107.460655,640.9885,,,,
231,107.13506,641.9234,,,,
232,106.98348,641.2908,,,,
233,106.800766,640.5944,,,,
234,106.54005,639.84485,,,,
235,106.66595,634.6962,,,,
236,106.441345,634.4883,*,,,
237,106.25762,634.75836,,,,
238,105.75856,640.0348,*,,,
239,105.65393,640.768,,,,
240,105.37069,641.5722,,,,
241,105.15683,642.2202,,,,
242,104.95513,642.26324,,,,
243,104.85953,641.768,,,,
244,104.63455,641.457,,,,
245,104.47642,641.6865,,,,
246,104.1349,641.89294,,,,
247,103.90257,642.2966,,,,
248,103.71104,642.4167,,,,
249,103.445045,642.2888,,,,
250,103.22,642.20917,,,,
251,102.904686,642.56177,,,,
252,102.73127,642.449,,,,
253,102.5633,642.57404,,,,
254,102.331375,642.5459,,,,
255,102.128876,642.62726,,,,
256,101.84722,642.6656,,,,
257,101.65817,642.74945,,,,
258,101.404915,642.5513,,,,
259,101.126595,642.71594,,,,
260,100.89233,642.7804,,,,
261,100.702545,642.80963,,,,
262,100.51486,642.8068,,,,
263,100.15268,642.9386,,,,
264,99.99417,642.8627,,,,
265,99.67285,642.9337,,,,
266,99.30932,642.96716,,,,
267,99.00737,643.09576,,,,
268,98.77655,643.10254,,,,
269,98.55876,643.13904,,,,
270,98.333336,643.1825,,,,
271,97.961296,643.27094,,,,
272,97.79158,643.27686,,,,
273,97.400314,643.2597,,,,
274,97.135124,643.3097,,,,
275,96.8171,643.5518,,,,
276,96.58646,643.449,,,,
277,96.30457,643.6008,,,,
278,96.01728,643.5628,,,,
279,95.609375,643.7979,,,,
280,95.35923,643.60114,,,,
281,95.044044,643.6409,,,,
282,94.68679,643.64966,,,,
283,94.2959,643.8692,,,,
284,93.93789,643.76294,,,,
285,93.698975,643.98206,,,,
286,93.294846,643.85156,,,,
287,92.95752,643.9463,,,,
288,92.69733,643.87823,,,,
289,92.31084,644.0644,,,,
290,91.93161,644.1494,,,,
291,91.631096,644.2317,,,,
292,91.24595,644.26215,,,,
293,90.8,644.38184,,,,
294,90.56566,644.3172,,,,
295,90.187126,644.47284,,,,
296,89.8,644.41815,,,,
297,89.45513,644.7004,,,,
298,89.0239,644.6384,,,,
299,88.738045,644.66034,,,,
300,88.166336,644.8386,,,,
301,87.880714,644.7097,,,,
302,87.47327,644.9297,,,,
303,87.16535,645.04626,,,,
304,86.75,645.1657,,,,
305,86.39561,645.2941,,,,
306,85.95365,645.2032,,,,
307,85.59903,645.466,,,,
308,85.31711,645.2729,,,,
309,84.88513,645.68823,,,,
310,84.5098,645.3941,,,,
311,84.10811,645.72394,,,,
312,83.643,645.54376,,,,
313,83.32609,645.59467,,,,
314,82.88719,645.8623,,,,
315,82.57781,646.0005,,,,
316,82.26784,646.088,,,,
317,81.815445,646.21466,,,,
318,81.38623,645.8222,,,,
319,80.92523,646.45605,,,,
320,80.656715,646.459,,,,
321,80.181526,646.60675,,,,
322,79.907,646.72833,,,,
323,79.46981,646.86505,,,,
324,,,,,,
325,,,,,,
326,,,,,,
327,,,,,,
328,,,,,,
329,,,,,,
330,,,,,,
331,,,,,,
332,,,,,,
333,,,,,,
334,,,,,,
335,,,,,,
336,,,,,,
337,,,,,,
338,,,,,,
339,,,,,,
340,,,,,,
341,,,,,,
342,,,,,,
343,,,,,,
344,,,,,,
345,,,,,,
346,,,,,,
347,,,,,,
348,,,,,,
349,,,,,,
350,,,,,,
351,,,,,,
352,,,,,,
353,,,,,,
354,,,,,,
355,,,,,,
356,,,,,,
357,,,,,,
358,,,,,,
359,,,,,,
360,,,,,,
361,,,,,,
362,,,,,,
363,,,,,,
364,,,,,,
365,,,,,,
366,,,,,,
367,,,,,,
368,,,,,,
369,,,,,,
370,,,,,,
371,,,,,,
,,,,,,
Track,Length,Distance,traveled,Nr,of,Frames
1,66.66193,14.693131,187,,,
2,1249.6238,606.00726,298,,,
