A5_papier_lijst,A5_coefficienten_1_h_O_lijst,A5_fout_coefficienten_1_h_O_lijst,A5_coefficienten_1_v_O_lijst,A5_fout_coefficienten_1_v_O_lijst
1,0.3119028297575287,0.005342488940751388,0.49934164678225945,0.2174044696063948
1,0.2988293273068549,0.005500301491134946,0.5306656186909472,0.2595430453941115
2,0.28201112627544445,0.005549364075526932,0.3884436369272028,0.18385152270741442
2,0.2889434887617561,0.006544139455354862,0.4268361581920946,0.23810546975914312
4,0.22784529716604446,0.0061640550528723964,0.2752588524282117,0.43769740767928705
4,0.22175168453038424,0.0048599201622137565,0.40256766702101254,0.17816116053783082
6,0.18408432576772454,0.005424475951099951,0.4025122698554654,0.1914732156943793
6,0.1873565916847325,0.004790674319748738,0.732872306207794,0.28542247589587333
8,0.19191649137881092,0.0039556390575351515,0.48112477545943555,0.1945105765060743
8,0.19098720752108508,0.0039883710226787505,0.8988562598145576,0.3997208964355199
10,0.1959338819995782,0.004148143181168645,0.5939536534331327,0.30434723140511954
10,0.20337808448831687,0.00413614519110125,0.5251194481978976,0.1208077122523941
12,0.21962853155728548,0.004697643035603846,0.6049561742046653,0.26964186807114215
12,0.2349206360031449,0.004534485344733378,0.5459212083246439,0.2020061118220747
14,0.23122932440219354,0.004811664037325549,0.5995468614083743,0.26329860403026595
14,0.23443948470649406,0.004933093435192395,0.5582100167934372,0.2557395715106576
16,0.2563053922918035,0.005509424575239752,0.6101447188564552,0.23884446135374474
16,0.25013815211906565,0.005058002006505759,0.49642708290769355,2.4515954484026907
18,0.26448540007024435,0.004509747599354255,0.584411959669262,0.26745656639146764
18,0.2630420481658482,0.004336127071207975,0.9645322626091796,0.5840364097633476
20,0.28132424894020874,0.004226588947742759,0.5788442599887413,0.2831729026691279
20,0.27992810885785163,0.004823513924995322,0.6549675654750409,0.27212387433718704
22,0.26459147174473835,0.00423602896521801,0.6134739189942859,0.3352949654796177
22,0.25858188309509167,0.0055810367666925586,0.49707159540291224,0.26990605630188785
24,0.2809072806504606,0.00518846639452145,0.5916901358240174,0.40248419649954587
