Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9	X10	Y10	Flag10
Tracks 1 to 10
1	161.90134	15.8841	 	294.65503	667.301	 	12.341122	668.1168	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	162.02582	15.783938	 	294.22076	666.9057	 	12.465754	668.02057	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	162.15459	15.808207	 	294.81088	667.18396	 	11.5	668.10956	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
4	162.35223	15.78122	 	294.44345	667.32776	 	10.680693	667.44556	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	162.48848	15.705375	 	294.11258	667.7277	 	11.822034	667.95276	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
6	162.5977	15.705938	 	294.84885	667.24677	 	12.047786	667.84265	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
7	162.5563	15.608779	 	294.65485	667.28217	 	11.851942	668.02185	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
8	162.65729	15.57531	 	294.6066	667.20306	 	11.898105	667.8934	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
9	162.7524	15.537428	 	294.42712	667.17084	 	11.707824	667.9499	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10	162.78995	15.47799	 	294.48486	667.19696	 	12.774827	668.2367	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11	162.89255	15.436963	 	294.8402	667.1366	 	11.495122	667.85364	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
12	163.03531	15.343512	 	293.94952	667.2164	 	12.936651	668.09503	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
13	163.21086	15.315562	 	294.59424	667.46594	 	11.938119	668.1906	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
14	163.23543	15.247851	 	294.51956	666.93274	 	13.047253	667.94836	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
15	163.41747	15.150672	 	294.68735	667.42084	 	11.333759	668.0908	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
16	163.54047	15.080925	 	294.7746	667.3264	 	12.77191	668.00336	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
