Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5
Tracks 1 to 5
72	 	 	 	 	 	 	167.92447	638.85565	 	120.85884	581.2968	 	 	 	 
73	 	 	 	 	 	 	175.58884	638.92975	 	120.72849	574.3898	 	 	 	 
74	 	 	 	 	 	 	170.92966	638.8707	 	120.38533	567.652	 	 	 	 
75	 	 	 	 	 	 	168.51982	638.8369	 	120.05291	561.2328	 	 	 	 
76	 	 	 	 	 	 	182.58537	637.64484	 	119.908485	555.187	 	 	 	 
77	 	 	 	 	 	 	192.17258	637.68066	 	119.79737	549.3579	 	 	 	 
78	 	 	 	 	 	 	182.82248	637.358	 	119.47681	543.90204	 	 	 	 
79	 	 	 	 	 	 	175.42546	638.92444	 	119.196106	538.8013	 	 	 	 
80	 	 	 	 	 	 	222.90889	637.25555	 	119.02987	534.2714	 	 	 	 
81	 	 	 	 	 	 	178.36935	639.0202	 	118.64616	529.53845	 	 	 	 
82	 	 	 	 	 	 	202.29419	638.8694	 	118.30513	525.1539	 	 	 	 
83	 	 	 	 	 	 	175.47095	638.92737	 	118.14721	520.91626	 	 	 	 
84	 	 	 	 	 	 	184.97488	637.7146	 	117.94301	517.0104	 	 	 	 
85	 	 	 	 	 	 	182.83527	637.7134	 	117.71287	513.49506	 	 	 	 
86	 	 	 	 	 	 	184.81203	637.7344	 	117.47165	510.4433	 	 	 	 
87	 	 	 	 	 	 	155.6572	638.53845	 	117.153564	507.5688	 	 	 	 
88	 	 	 	 	 	 	194.88953	637.5491	 	116.94198	505.18643	 	 	 	 
89	 	 	 	 	 	 	198.87148	637.6426	 	116.588455	503.14618	 	 	 	 
90	 	 	 	 	 	 	223.47386	637.2865	 	116.413925	501.2114	 	 	 	 
91	 	 	 	 	 	 	199.76692	637.6034	 	116.228424	499.2538	 	 	 	 
92	 	 	 	 	 	 	220.51308	637.39545	 	115.80808	497.9495	 	 	 	 
93	 	 	 	 	 	 	194.74535	637.5626	 	115.7518	496.83334	 	 	 	 
94	 	 	 	 	 	 	200.43884	637.08014	 	115.417076	495.93658	 	 	 	 
95	 	 	 	 	 	 	164.90384	638.80383	 	115.20864	495.24075	 	 	 	 
96	 	 	 	 	 	 	187.69626	637.75854	 	114.76536	495.13635	 	 	 	 
97	 	 	 	 	 	 	167.0901	638.8163	 	114.63513	494.96683	 	 	 	 
98	 	 	 	 	 	 	166.34602	638.7941	 	114.5321	495.21606	 	 	 	 
99	 	 	 	 	 	 	173.46126	637.5359	 	114.105064	495.94556	 	 	 	 
100	 	 	 	 	 	 	189.09735	637.24927	 	113.76847	497.06897	 	 	 	 
101	 	 	 	 	 	 	194.34021	637.63574	 	113.606964	498.4179	 	 	 	 
102	 	 	 	 	 	 	225.44348	637.2696	 	113.19458	500.1133	 	 	 	 
103	 	 	 	 	 	 	206.00873	638.94476	 	112.879906	501.97058	 	 	 	 
104	 	 	 	 	 	 	178.11737	639.0094	 	112.75622	503.98755	 	 	 	 
105	 	 	 	 	 	 	171.81857	638.884	 	112.5802	506.47495	 	 	 	 
