Frame,X1,Y1,Flag1,,,
199,63.422726,613.76215,,,,
200,63.246586,613.758,,,,
201,63.129517,613.9232,,,,
202,62.80746,614.009,,,,
203,62.807575,613.9591,,,,
204,62.497032,614.2285,,,,
205,62.292793,614.17566,,,,
206,62.192078,614.22644,,,,
207,62.031628,614.375,,,,
208,61.84342,614.1914,,,,
209,61.66692,614.2041,,,,
210,61.461193,614.1373,,,,
211,61.305138,614.1526,,,,
212,61.206146,614.464,,,,
213,60.92009,614.31586,,,,
214,60.701504,614.62634,,,,
215,60.55357,614.7619,,,,
216,60.382008,614.87756,,,,
217,60.239323,614.8034,,,,
218,60.075893,614.8542,,,,
219,59.845642,614.9535,,,,
220,59.75753,614.79065,,,,
221,59.51473,614.95215,,,,
222,59.33186,614.9897,,,,
223,59.136765,614.99115,,,,
224,58.991123,615.1139,,,,
225,58.69208,615.2566,,,,
226,58.422077,615.65875,,,,
227,58.440563,615.36926,,,,
228,58.136894,615.57025,,,,
229,58.064064,615.4264,,,,
230,57.83579,615.52795,,,,
231,57.482708,615.90924,,,,
232,57.250717,615.8854,,,,
233,57.108246,615.6561,,,,
234,56.86925,615.87354,,,,
235,56.863373,615.75433,,,,
236,56.507236,615.98627,,,,
237,56.432552,615.6921,,,,
238,56.215115,615.86194,,,,
239,55.892498,616.15515,,,,
240,55.748913,616.15265,,,,
241,55.411556,616.2989,,,,
242,55.389675,616.5198,,,,
243,55.160027,616.3777,,,,
244,54.88659,616.4601,,,,
245,54.686512,616.5,,,,
246,54.44879,616.6636,,,,
247,54.19929,616.5723,,,,
248,53.900284,616.8437,,,,
249,53.72539,616.6555,,,,
250,53.538136,616.6893,,,,
Track,Length,Distance,traveled,Nr,of,Frames
1,554.6925,303.66586,250,,,
