Frame,X1,Y1,Flag1,,,
Tracks,1,to,1,,,
29,131.20752,67.18817,,,,
30,131.25273,70.9814,,,,
31,131.21686,74.76742,,,,
32,131.12473,79.15169,,,,
33,131.15826,83.56422,*,,,
34,131.18213,88.44663,,,,
35,131.0954,93.56437,,,,
36,130.96605,98.97307,,,,
37,130.99759,104.63527,,,,
38,131.00975,110.619514,,,,
39,130.87,116.88,,,,
40,130.79082,123.533165,,,,
41,130.75,130.36734,,,,
42,130.64589,137.50266,,,,
43,130.58447,144.91417,,,,
44,130.4303,152.88069,,,,
45,130.45381,160.83968,,,,
46,130.51903,169.13858,,,,
47,130.4139,177.83333,,,,
48,130.33626,186.7924,,,,
49,130.10588,195.93529,,,,
50,130.28816,205.57788,,,,
51,130.21605,215.4321,,,,
52,130.22955,225.56604,,,,
53,130.0514,235.9517,,,,
54,129.85692,246.6222,,,,
55,129.87013,257.57144,,,,
56,129.85431,269.0331,,,,
57,129.58824,280.51633,,,,
58,129.67809,292.4041,,,,
59,129.70206,304.66095,,,,
60,129.4579,317.11755,,,,
61,129.35611,329.8813,,,,
62,129.18727,342.94727,,,,
63,129.13179,356.4031,,,,
64,129.16794,369.98093,,,,
65,129.19112,383.917,,,,
66,128.96185,398.1225,,,,
67,129.09663,412.4832,,,,
68,128.97882,427.2839,,,,
69,129.00655,442.41702,,,,
70,128.84584,457.70834,,,,
71,128.63274,473.16373,,,,
72,128.55217,489.0739,,,,
73,128.52222,505.29556,,,,
74,128.58333,521.80554,,,,
75,128.74538,538.4074,,,,
76,128.2962,555.39575,,,,
77,128.24634,572.69025,,,,
78,128.32326,589.9837,,,,
79,128.37234,602.81915,,,,
80,128.24788,593.0751,,,,
81,128.07925,584.1599,,,,
82,128.13841,575.38416,,,,
83,127.92373,567.0452,,,,
84,128.10286,558.8943,,,,
85,127.8863,550.86163,,,,
86,127.772224,543.55835,,,,
87,127.9065,536.28864,,,,
88,127.71951,529.4702,,,,
89,127.66086,522.8378,,,,
90,127.64634,516.79,,,,
91,127.26486,510.72433,,,,
92,127.371056,504.8158,,,,
93,127.25132,499.28836,,,,
94,127.44531,493.8203,,,,
95,127.27778,488.67313,,,,
96,127.22796,483.98615,,,,
97,127.19347,479.92212,,,,
98,127.08312,476.0473,,,,
99,126.841705,472.4196,,,,
100,126.8648,469.21683,,,,
101,126.81605,466.00864,,,,
102,126.75926,462.9469,,,,
103,126.64392,460.42557,,,,
104,126.57232,458.1085,,,,
105,126.460594,456.0271,,,,
106,126.4242,454.14304,,,,
107,126.55637,452.7745,,,,
108,126.3925,451.6375,,,,
109,126.4375,450.8025,,,,
110,126.28624,450.3796,,,,
111,126.15534,450.2791,,,,
112,125.77681,450.79675,,,,
113,125.79136,451.07532,,,,
114,125.801704,451.6168,,,,
115,125.76463,452.4644,,,,
116,125.734146,453.5122,,,,
117,125.47022,454.9913,,,,
118,125.367165,456.7306,,,,
119,125.32064,458.95947,,,,
120,125.32674,461.11633,,,,
121,125.26167,463.67444,,,,
122,125.06313,466.66666,,,,
123,124.95074,470.13547,,,,
124,124.820984,473.98642,,,,
125,124.818985,478.00632,,,,
126,124.66414,482.23737,,,,
127,124.53015,486.6809,,,,
128,124.49241,491.29492,,,,
129,124.438934,496.20737,,,,
130,124.33804,501.50256,,,,
131,124.075195,507.0752,,,,
132,124.08377,512.9529,,,,
133,123.8421,519.1184,,,,
134,123.68667,525.4973,,,,
135,123.842316,532.28973,,,,
136,123.576294,539.28204,,,,
137,123.6863,546.9,,,,
138,123.52732,554.6612,,,,
139,123.236115,562.8028,,,,
140,123.20959,571.00684,,,,
141,123.26164,579.3822,,,,
142,123.137886,588.1184,,,,
143,122.990906,597.713,,,,
144,122.916664,605.4186,,,,
145,122.82819,599.7247,,,,
146,122.72581,594.8802,,,,
147,122.85765,590.33765,,,,
148,122.77143,586.2952,,,,
149,122.830986,582.6432,,,,
150,122.54651,579.32556,,,,
151,122.50693,576.56464,,,,
152,122.45704,573.8413,,,,
153,122.29009,571.38916,,,,
154,122.26485,569.23395,,,,
155,122.316666,567.3452,,,,
156,122.18706,565.5094,,,,
157,122.06422,564.1674,,,,
158,122.01157,563.081,,,,
159,122.05582,562.20465,,,,
160,122.00823,561.7094,,,,
161,121.96099,561.4976,,,,
162,121.945755,561.65564,,,,
163,121.746475,562.3404,,,,
164,121.78271,563.2804,,,,
165,121.68604,564.46277,,,,
166,121.63551,565.82245,,,,
167,121.55116,567.3093,,,,
168,121.59434,569.0519,,,,
169,121.53792,571.0545,,,,
170,121.506996,573.4604,,,,
171,121.323944,576.1714,,,,
172,121.18235,579.01056,,,,
173,121.329834,582.2972,,,,
174,121.207146,586.1095,,,,
175,121.17381,590.1262,,,,
176,121.100914,594.69727,,,,
177,120.90175,599.7162,,,,
178,120.847664,606.06635,,,,
179,120.86449,605.915,,,,
180,120.87037,602.9424,,,,
181,120.87681,600.9534,,,,
182,120.974464,599.50214,,,,
183,120.847916,598.2729,,,,
184,120.89662,597.4515,,,,
185,120.72436,597.06195,,,,
186,120.700424,596.74304,,,,
187,120.76923,596.9893,,,,
188,120.757385,597.5,,,,
189,120.7433,598.45874,,,,
190,120.56131,599.78754,,,,
191,120.65258,601.2938,,,,
192,120.530426,603.1572,,,,
193,120.47122,606.0252,,,,
194,120.5663,606.2698,,,,
195,120.67383,605.29065,,,,
196,120.69471,604.4811,,,,
197,120.565895,604.16473,,,,
198,120.492294,604.1224,,,,
199,120.53506,604.9244,,,,
200,120.52018,605.6211,,,,
201,120.53249,606.1372,,,,
202,120.67541,605.8418,,,,
203,120.49443,605.92303,,,,
204,120.507324,606.0714,,,,
205,120.494484,606.4136,,,,
206,120.53278,606.3925,,,,
207,120.56947,606.2166,,,,
208,120.60055,605.98444,,,,
209,120.613556,606.011,,,,
210,120.66636,606.0228,,,,
211,120.614334,605.88477,,,,
212,120.64154,605.9871,,,,
213,120.7459,606.09015,,,,
214,120.76103,606.07904,,,,
215,120.707886,606.2975,,,,
216,120.79623,606.40485,,,,
217,120.82907,606.489,,,,
218,120.86364,606.6564,,,,
219,120.81365,606.7565,,,,
220,120.90801,606.5929,,,,
221,120.94262,606.4016,,,,
222,121.09818,606.15454,,,,
223,121.04727,606.2,,,,
224,121.11131,606.12775,,,,
225,121.20037,606.21326,,,,
226,121.217155,606.20074,,,,
227,121.27005,606.39124,,,,
228,121.34854,606.52374,,,,
229,121.37454,606.6564,,,,
230,121.46147,606.845,,,,
231,121.43236,606.915,,,,
232,121.547356,606.8151,,,,
233,121.5,606.7808,,,,
234,121.707886,606.7222,,,,
235,121.736984,606.491,,,,
236,121.84353,606.32733,,,,
237,121.82427,606.4384,,,,
238,121.80824,606.5681,,,,
239,121.90472,606.39655,,,,
240,122.011795,606.62524,,,,
241,122.15063,606.78345,,,,
242,122.15364,606.84814,,,,
243,122.07734,606.90826,,,,
244,122.29529,607.1721,,,,
245,122.20418,607.1479,,,,
246,122.34492,607.09357,,,,
247,122.428314,606.9426,,,,
248,122.48561,606.6529,,,,
249,122.566666,606.6874,,,,
250,122.62386,606.65845,,,,
251,122.76203,606.81726,,,,
